bdt ratio error
0.9 1.74812818341652E-009 3.52141007711264E-010
0.901 1.66544519354389E-009 3.43740405818823E-010
0.902 1.8176215929159E-009 3.56702481424393E-010
0.903 1.58219504797687E-009 3.30677962404307E-010
0.904 1.44546946682554E-009 3.13091873851679E-010
0.905 1.56195342639099E-009 3.22264345188449E-010
0.906 1.42880464894436E-009 3.11762703981101E-010
0.907 1.52605122666681E-009 3.23006747197104E-010
0.908 1.77545252485276E-009 3.3940135050833E-010
0.909 2.23692558387787E-009 3.70483918218785E-010
0.91 1.6090457973299E-009 3.28963663593837E-010
0.911 1.7869240704608E-009 3.40333268536203E-010
0.912 1.69300188489506E-009 3.29430358112466E-010
0.913 0.000000002 3.48336041948278E-010
0.914 1.43552079921958E-009 3.15122468008699E-010
0.915 1.54819741904487E-009 3.21977209693049E-010
0.916 1.64486479535376E-009 3.34366707212318E-010
0.917 1.45378792279981E-009 3.23910031120453E-010
0.918 1.47250164954359E-009 3.10157716408985E-010
0.919 0.000000002 3.47974054394293E-010
0.92 1.46584734668905E-009 3.13642366336051E-010
0.921 1.47363673559282E-009 3.18245870365111E-010
0.922 1.37431729356285E-009 3.04609177553599E-010
0.923 2.23743917488845E-009 3.66002046400279E-010
0.924 1.4887637172375E-009 3.17149423712664E-010
0.925 1.43704524126181E-009 3.12747430764976E-010
0.926 1.48519563591014E-009 3.1999469121807E-010
0.927 1.43862984265654E-009 3.19004629368612E-010
0.928 1.52530988371753E-009 3.27550146469656E-010
0.929 1.61059258456792E-009 3.33567837988612E-010
0.93 1.5294291711569E-009 3.18790877492501E-010
0.931 1.49115594295982E-009 3.25087632217745E-010
0.932 1.43678696505926E-009 3.1787160067439E-010
0.933 1.64414323630373E-009 3.44210382708771E-010
0.934 1.65102615167172E-009 3.57984197275142E-010
0.935 1.57328607636226E-009 3.39571773605496E-010
0.936 1.52096563845124E-009 3.33897807629403E-010
0.937 1.4565101648954E-009 3.24665570649941E-010
0.938 1.50347409497441E-009 3.19499739123096E-010
0.939 1.39195631139046E-009 3.01182474928993E-010
0.94 1.63711217624307E-009 3.13499543781196E-010
0.941 1.3934369424727E-009 2.98625349234277E-010
0.942 1.53917072967436E-009 3.11181531061091E-010
0.943 1.84190326135726E-009 3.45971143392887E-010
0.944 1.91692040766357E-009 3.54208494032842E-010
0.945 1.61717790213287E-009 3.47872129946618E-010
0.946 2.34334672337124E-009 4.10173166071292E-010
0.947 1.66175623410391E-009 3.59644086534567E-010
0.948 1.56347216929133E-009 3.35957664133621E-010
0.949 1.55701803731229E-009 3.32870120755788E-010
0.95 1.7143512581392E-009 3.43895784810961E-010
0.951 1.49817544576692E-009 3.32262121195473E-010
0.952 1.4345871612676E-009 3.05129896431597E-010
0.953 1.38648033401938E-009 3.06279085532435E-010
0.954 1.55542895035422E-009 3.18388784069202E-010
0.955 1.62034499041783E-009 3.05803618903916E-010
0.956 1.42801797248883E-009 2.98841210207321E-010
0.957 1.56057830994114E-009 3.02496610446892E-010
0.958 0.000000002 3.43796123436542E-010
0.959 1.7367218022227E-009 3.19305383533735E-010
0.96 1.44190512412666E-009 3.18007836040518E-010
0.961 1.52611816935288E-009 3.26263788176302E-010
0.962 1.37986042324755E-009 3.0120104839784E-010
0.963 2.10677707498526E-009 3.51221948566061E-010
0.964 1.67392544824122E-009 3.1233186575432E-010
0.965 1.79244137964888E-009 3.45821972881907E-010
0.966 1.81549460961671E-009 3.5479464705288E-010
0.967 1.37608756107698E-009 3.05062620894021E-010
0.968 1.59822565611151E-009 3.29246921263765E-010
0.969 2.2100978187392E-009 4.10892458778913E-010
0.97 1.64644044527475E-009 3.6213175120573E-010
0.971 1.63122059939161E-009 3.61843393238853E-010
0.972 1.54774768684316E-009 3.36559592977934E-010
0.973 1.77577105113816E-009 3.76909521713319E-010
0.974 1.69453622289109E-009 3.46942970068022E-010
0.975 1.90743372577118E-009 3.65453940297401E-010
0.976 1.83843348585455E-009 3.6729363027862E-010
0.977 1.89309330356449E-009 3.87237002861062E-010
0.978 1.31315573784144E-009 2.77615778722432E-010
0.979 1.28172074251824E-009 2.61309104672745E-010
0.98 1.68510486492771E-009 3.27851332468174E-010
0.981 1.74558631823274E-009 3.43761955439914E-010
0.982 0.000000002 3.90875896905901E-010
0.983 0.000000002 4.04954183679923E-010
0.984 2.73759620323364E-009 5.55740825849493E-010
0.985 3.06698822706486E-009 6.82546178033107E-010
0.986 2.94380899237714E-009 6.02185731540278E-010
0.987 3.71091354624735E-009 7.18006326892151E-010
0.988 8.34505553585476E-009 1.45416321127216E-009
0.989 7.589886343373E-009 1.64910033769222E-009
0.99 2.02966194642224E-008 0.000000003
0.991 1.74545983955714E-008 3.81883035958789E-009
