bdt ratio error
0 9.08305914649404E-009 1.92154110558897E-009
0.01 5.49095734467324E-009 1.2259128885564E-009
0.02 4.46613333393713E-009 0.000000001
0.03 4.74328010745077E-009 9.0274057741698E-010
0.04 4.06341460500889E-009 8.18501097661274E-010
0.05 3.71208097721395E-009 7.65822637719571E-010
0.06 3.40774006667857E-009 7.2464923455423E-010
0.07 3.52491124251075E-009 7.08616794638195E-010
0.08 4.13184595967568E-009 7.29686747757746E-010
0.09 3.49497416936416E-009 6.79851917095989E-010
0.1 0.000000003 6.43487748858527E-010
0.11 3.15891516666437E-009 6.37940541844853E-010
0.12 2.90242529312373E-009 6.19121366643342E-010
0.13 2.84200208745833E-009 6.05505577680848E-010
0.14 2.77079265448577E-009 5.92707206944252E-010
0.15 3.05736790296069E-009 6.04288975970417E-010
0.16 2.54753197258653E-009 5.67318188135311E-010
0.17 2.86214546241142E-009 5.78910406926824E-010
0.18 2.88535501020505E-009 5.77383025264649E-010
0.19 2.47092772742298E-009 5.50611533384284E-010
0.2 2.79658393795179E-009 5.63458201044895E-010
0.21 2.41067427076142E-009 5.39155151512546E-010
0.22 2.3928542337638E-009 5.33278643890848E-010
0.23 2.60161957700678E-009 5.39703067884052E-010
0.24 3.34981837821411E-009 5.77598113597448E-010
0.25 2.67545039358362E-009 5.36581406729996E-010
0.26 2.35309600145619E-009 5.17498494603486E-010
0.27 2.66408261304515E-009 5.29963353008817E-010
0.28 2.33126164005302E-009 5.09937430155782E-010
0.29 2.32322469468414E-009 5.07356301016978E-010
0.3 2.53600450516481E-009 5.44163439591846E-010
0.31 2.65218459493614E-009 5.51910135427731E-010
0.32 2.72902689397796E-009 5.58201253718789E-010
0.33 2.55564229869653E-009 5.28344202398798E-010
0.34 2.40566208269192E-009 5.12918909524875E-010
0.35 2.54923953155246E-009 5.1399210199493E-010
0.36 2.33201417219235E-009 4.99334238188191E-010
0.37 2.63996030209268E-009 5.09731741440591E-010
0.38 2.342632733833E-009 4.86337554298831E-010
0.39 3.5212595990373E-009 5.62741780431923E-010
0.4 2.32299891199102E-009 4.83177537759272E-010
0.41 2.14595552599378E-009 4.77990281005081E-010
0.42 2.16328594494144E-009 4.740319655057E-010
0.43 0.000000003 5.26025518323688E-010
0.44 2.372918493421E-009 4.84606241330305E-010
0.45 2.2750169452023E-009 4.75148054989641E-010
0.46 2.61791353286214E-009 4.88304964073867E-010
0.47 2.19244526881822E-009 4.589599523485E-010
0.48 2.103444822339E-009 4.57607427564297E-010
0.49 2.1919457757384E-009 4.58079322121226E-010
0.5 2.19759550960613E-009 4.58417994250679E-010
0.51 2.12248250336236E-009 4.54083641384099E-010
0.52 2.13206154331838E-009 4.63646110663599E-010
0.53 2.55124158656912E-009 4.82292637777127E-010
0.54 0.000000002 4.50680584385368E-010
0.55 2.43685914699918E-009 4.73460371581944E-010
0.56 2.26410220363917E-009 4.60859918656399E-010
0.57 2.36795864549229E-009 4.55279740176662E-010
0.58 0.000000002 4.30440782614603E-010
0.59 2.50976384766223E-009 4.48003193356295E-010
0.6 2.36210196466916E-009 4.377792662851E-010
0.61 0.000000002 4.25483889804735E-010
0.62 2.36040943701993E-009 4.39557993201891E-010
0.63 2.06057363919473E-009 4.28892347202044E-010
0.64 1.87731229119853E-009 4.08684481138212E-010
0.65 2.05716672719354E-009 4.20628193184457E-010
0.66 0.000000002 4.04414135851743E-010
0.67 1.82389907538134E-009 3.89865635252478E-010
0.68 2.17656173204304E-009 4.20693919405521E-010
0.69 2.05829139027801E-009 4.13649753357202E-010
0.7 1.74841424782199E-009 3.82380189153387E-010
0.71 1.82798660680693E-009 3.91164569723577E-010
0.72 1.85153791478663E-009 3.86663378221651E-010
0.73 1.78770945562056E-009 3.8013965293013E-010
0.74 2.05715111259592E-009 3.96134551005092E-010
0.75 1.93977378179411E-009 3.94592021814863E-010
0.76 1.79369917496265E-009 3.81609639397971E-010
0.77 1.71164910861383E-009 3.65747934252084E-010
0.78 0.000000002 3.9302928913324E-010
0.79 1.82733068669061E-009 3.76269969677082E-010
0.8 2.38205130370728E-009 4.08212367876131E-010
0.81 1.84742712528237E-009 3.67614437358805E-010
0.82 1.72046793172749E-009 3.60785065891691E-010
0.83 1.80048471297872E-009 3.72268939904811E-010
0.84 1.62259453890903E-009 3.53651226735738E-010
0.85 1.76298270301312E-009 3.57483962786603E-010
0.86 1.81156310851106E-009 3.62409866526378E-010
0.87 1.54349902851973E-009 3.40558420415666E-010
0.88 1.80059246023197E-009 3.42979984066166E-010
0.89 1.82847066892157E-009 3.39969832493827E-010
0.9 1.63357062906477E-009 3.44902098051045E-010
0.91 1.53936286006829E-009 3.28321384510442E-010
0.92 1.67315112067423E-009 3.2906272007896E-010
0.93 1.45888965830264E-009 3.12975368770841E-010
0.94 1.36325776040948E-009 2.92282295759577E-010
0.95 1.54087739516003E-009 3.37868222980068E-010
0.96 1.68279395126158E-009 3.28670786352744E-010
0.97 1.81502844433441E-009 3.79428164782739E-010
0.98 1.83362990816046E-009 3.55979326850074E-010
0.99 2.02966194642224E-008 0.000000003
