bdt ratio error
0.0 9.083059146494044e-09 1.9215411055889706e-09
0.01 5.490957344673239e-09 1.2259128885563972e-09
0.02 4.466133333937126e-09 9.70634634223765e-10
0.029999999999999999 4.743280107450766e-09 9.027405774169801e-10
0.040000000000000001 4.063414605008893e-09 8.185010976612738e-10
0.050000000000000003 3.7120809772139474e-09 7.658226377195712e-10
0.059999999999999998 3.4077400666785743e-09 7.246492345542296e-10
0.070000000000000007 3.5249112425107526e-09 7.086167946381954e-10
0.080000000000000002 4.131845959675682e-09 7.29686747757746e-10
0.089999999999999997 3.4949741693641617e-09 6.79851917095989e-10
0.10000000000000001 3.0342101176273616e-09 6.434877488585269e-10
0.11 3.1589151666643692e-09 6.379405418448531e-10
0.12 2.90242529312373e-09 6.19121366643342e-10
0.13 2.842002087458332e-09 6.055055776808483e-10
0.14000000000000001 2.7707926544857696e-09 5.927072069442521e-10
0.14999999999999999 3.057367902960688e-09 6.04288975970417e-10
0.16 2.547531972586527e-09 5.673181881353106e-10
0.17000000000000001 2.862145462411417e-09 5.789104069268242e-10
0.17999999999999999 2.885355010205053e-09 5.773830252646487e-10
0.19 2.470927727422976e-09 5.506115333842844e-10
0.20000000000000001 2.796583937951787e-09 5.634582010448945e-10
0.20999999999999999 2.4106742707614215e-09 5.391551515125461e-10
0.22 2.3928542337638026e-09 5.33278643890848e-10
0.23000000000000001 2.6016195770067764e-09 5.397030678840518e-10
0.23999999999999999 3.349818378214107e-09 5.775981135974482e-10
0.25 2.675450393583621e-09 5.365814067299956e-10
0.26000000000000001 2.3530960014561853e-09 5.174984946034857e-10
0.27000000000000002 2.6640826130451538e-09 5.299633530088171e-10
0.28000000000000003 2.3312616400530247e-09 5.099374301557819e-10
0.28999999999999998 2.323224694684137e-09 5.073563010169777e-10
