bdt,ratio,error
0.93,1.5294291711569E-009,3.18790877492501E-010
0.931,1.49115594295982E-009,3.25087632217745E-010
0.932,1.43678696505926E-009,3.1787160067439E-010
0.933,1.64414323630373E-009,3.44210382708771E-010
0.934,1.65102615167172E-009,3.57984197275142E-010
0.935,1.57328607636226E-009,3.39571773605496E-010
0.936,1.52096563845124E-009,3.33897807629403E-010
0.937,1.4565101648954E-009,3.24665570649941E-010
0.938,1.50347409497441E-009,3.19499739123096E-010
0.939,1.39195631139046E-009,3.01182474928993E-010
0.94,1.63711217624307E-009,3.13499543781196E-010
0.941,1.3934369424727E-009,2.98625349234277E-010
0.942,1.53917072967436E-009,3.11181531061091E-010
0.943,1.84190326135726E-009,3.45971143392887E-010
0.944,1.91692040766357E-009,3.54208494032842E-010
0.945,1.61717790213287E-009,3.47872129946618E-010
0.946,2.34334672337124E-009,4.10173166071292E-010
0.947,1.66175623410391E-009,3.59644086534567E-010
0.948,1.56347216929133E-009,3.35957664133621E-010
0.949,1.55701803731229E-009,3.32870120755788E-010
0.95,1.7143512581392E-009,3.43895784810961E-010
0.951,1.49817544576692E-009,3.32262121195473E-010
0.952,1.4345871612676E-009,3.05129896431597E-010
0.953,1.38648033401938E-009,3.06279085532435E-010
0.954,1.55542895035422E-009,3.18388784069202E-010
0.955,1.62034499041783E-009,3.05803618903916E-010
0.956,1.42801797248883E-009,2.98841210207321E-010
0.957,1.56057830994114E-009,3.02496610446892E-010
0.958,0.000000002,3.43796123436542E-010
0.959,1.7367218022227E-009,3.19305383533735E-010
