bdt,count,peak,sig,eff,significance,ratio
0.98,10,0.0397038916,(0.1+/-1.7)e+02,0.2032875078,False,
0.98,20,2.13694054505289E-007,(0.0+/-1.1)e+02,0.2032875078,False,
0.98,30,1.5226679435,(1.1+/-0.7)e+02,0.2032875078,False,
0.98,40,6.07640946212547E-006,(0.0+/-5.1)e+01,0.2032875078,False,
0.98,50,1.1340256945,(8.0+/-7.0)e+01,0.2032875078,False,
0.98,60,1.5711963455,(1.1+/-0.7)e+02,0.2032875078,False,
0.98,70,1.6314974603,(1.1+/-0.7)e+02,0.2032875078,False,
0.98,80,1.9717253179,(1.4+/-0.7)e+02,0.2032875078,False,
0.98,90,1.5062243006,(1.1+/-0.7)e+02,0.2032875078,False,
0.98,100,2.69199288373705E-007,0.0+/-19.8,0.2032875078,False,
0.98,110,2.3223921957,(1.7+/-0.7)e+02,0.2032875078,False,
0.98,120,1.7402709981,(1.2+/-0.7)e+02,0.2032875078,False,
0.98,130,2.7939191923,(2.0+/-0.7)e+02,0.2032875078,False,
0.98,140,2.7464983772,(2.0+/-0.7)e+02,0.2032875078,False,
0.98,150,2.8938284221,(2.1+/-0.7)e+02,0.2032875078,False,
0.98,160,3.4546376585,(2.5+/-0.7)e+02,0.2032875078,False,
0.98,170,3.7841618041,(2.8+/-0.7)e+02,0.2032875078,False,
0.98,180,2.3646456841,(1.7+/-0.7)e+02,0.2032875078,False,
0.98,190,3.1256337318,(2.3+/-0.7)e+02,0.2032875078,False,
0.98,200,2.8307850778,(2.0+/-0.7)e+02,0.2032875078,False,
0.98,210,2.45192162,(1.8+/-0.7)e+02,0.2032875078,False,
0.98,220,1.4149491639,(1.0+/-0.7)e+02,0.2032875078,False,
0.98,230,3.1011178393,(2.3+/-0.7)e+02,0.2032875078,False,
0.98,250,2.5059530887,(1.8+/-0.7)e+02,0.2032875078,False,
0.98,260,4.6613015237,(3.5+/-0.7)e+02,0.2032875078,False,
0.98,270,3.1090375964,(2.3+/-0.7)e+02,0.2032875078,False,
0.98,280,3.9155352518,(2.9+/-0.7)e+02,0.2032875078,False,
0.98,290,3.4931862299,(2.5+/-0.7)e+02,0.2032875078,False,
0.98,300,3.769956233,(2.8+/-0.7)e+02,0.2032875078,False,
0.98,310,2.7149635015,(2.0+/-0.7)e+02,0.2032875078,False,
0.98,320,4.0911839489,(3.0+/-0.7)e+02,0.2032875078,False,
0.98,340,4.2721612143,(3.2+/-0.7)e+02,0.2032875078,False,
0.98,350,4.9002722672,(3.7+/-0.7)e+02,0.2032875078,False,
0.98,360,4.9370548361,(3.7+/-0.7)e+02,0.2032875078,False,
0.98,380,4.7407333237,(3.5+/-0.7)e+02,0.2032875078,False,
0.9825,10,1.33646391949819E-007,0.0+/-16.4,0.1553248828,False,
0.9825,20,0.8983932419,(5.1+/-5.7)e+01,0.1553248828,False,
0.9825,30,1.9314296563,(1.1+/-0.6)e+02,0.1553248828,False,
0.9825,40,4.35537103201283E-006,0.0+/-24.9,0.1553248828,False,
0.9825,50,2.6247640852,(1.5+/-0.6)e+02,0.1553248828,False,
0.9825,60,2.0391530392,(1.2+/-0.6)e+02,0.1553248828,False,
0.9825,70,2.5473155208,(1.5+/-0.6)e+02,0.1553248828,False,
0.9825,80,0.3418825088,(1.9+/-5.7)e+01,0.1553248828,False,
0.9825,90,1.9742674531,(1.1+/-0.6)e+02,0.1553248828,False,
0.9825,100,1.4912756606,(8.5+/-5.7)e+01,0.1553248828,False,
0.9825,110,1.843893696,(1.1+/-0.6)e+02,0.1553248828,False,
0.9825,120,2.4679051583,(1.5+/-0.6)e+02,0.1553248828,False,
0.9825,130,3.1810464629,(1.9+/-0.6)e+02,0.1553248828,False,
0.9825,140,1.2135117399,(7.1+/-5.9)e+01,0.1553248828,False,
0.9825,160,1.0095628381,(5.9+/-5.8)e+01,0.1553248828,False,
0.9825,170,1.5473196444,(9.0+/-5.8)e+01,0.1553248828,False,
0.9825,180,4.2012329407,(2.5+/-0.6)e+02,0.1553248828,False,
0.9825,190,2.7526573242,(1.6+/-0.6)e+02,0.1553248828,False,
0.9825,200,2.8261102093,(1.7+/-0.6)e+02,0.1553248828,False,
0.9825,210,3.7273081222,(2.2+/-0.6)e+02,0.1553248828,False,
0.9825,220,3.1615820367,(1.9+/-0.6)e+02,0.1553248828,False,
0.9825,230,3.0116967426,(1.8+/-0.6)e+02,0.1553248828,False,
0.9825,240,2.9473008185,(1.8+/-0.6)e+02,0.1553248828,False,
0.9825,250,4.4764334745,(2.7+/-0.6)e+02,0.1553248828,False,
0.9825,260,3.9464337345,(2.4+/-0.6)e+02,0.1553248828,False,
0.9825,320,2.2370920073,(1.4+/-0.6)e+02,0.1553248828,False,
0.9825,350,3.8455631815,(2.4+/-0.6)e+02,0.1553248828,False,
0.985,10,0.4848983826,(2.0+/-4.2)e+01,0.0933971756,False,
0.985,20,1.3158390034,(5.8+/-4.4)e+01,0.0933971756,False,
0.985,30,2.6645507118,(1.2+/-0.4)e+02,0.0933971756,False,
0.985,40,1.9493754337,(8.5+/-4.4)e+01,0.0933971756,False,
0.985,50,1.9005893235,(8.4+/-4.4)e+01,0.0933971756,False,
0.985,60,2.047333658,(9.3+/-4.5)e+01,0.0933971756,False,
0.985,70,3.2916761667,(1.5+/-0.5)e+02,0.0933971756,False,
0.985,80,1.6098463462,(7.1+/-4.4)e+01,0.0933971756,False,
0.985,90,3.8897520097,(1.8+/-0.5)e+02,0.0933971756,False,
0.985,100,2.8123980123,(1.3+/-0.5)e+02,0.0933971756,False,
0.985,110,3.0936229919,(1.4+/-0.5)e+02,0.0933971756,False,
0.985,120,1.6734084786,(7.5+/-4.5)e+01,0.0933971756,False,
0.985,130,0.514897156,(2.3+/-4.5)e+01,0.0933971756,False,
0.985,140,3.3523553087,(1.6+/-0.5)e+02,0.0933971756,False,
0.985,150,1.6766228835,(7.6+/-4.6)e+01,0.0933971756,False,
0.985,160,1.7512209534,(7.9+/-4.5)e+01,0.0933971756,False,
0.985,170,3.0825064926,(1.4+/-0.5)e+02,0.0933971756,False,
0.985,180,3.9305220037,(1.9+/-0.5)e+02,0.0933971756,False,
0.985,190,4.0858853806,(1.9+/-0.5)e+02,0.0933971756,False,
0.985,200,3.5399547043,(1.7+/-0.5)e+02,0.0933971756,False,
0.985,210,2.5676887904,(1.2+/-0.5)e+02,0.0933971756,False,
0.985,230,4.4839370996,(2.2+/-0.5)e+02,0.0933971756,False,
0.985,280,4.3060804341,(2.1+/-0.5)e+02,0.0933971756,False,
0.9875,10,0.8430291496,24.6+/-29.2,0.045070508,False,
0.9875,20,1.6563050619,48.1+/-29.0,0.045070508,False,
0.9875,30,0.1168956821,(0.5+/-4.2)e+01,0.045070508,False,
0.9875,40,0.0299855735,(0.2+/-7.9)e+01,0.045070508,False,
0.9875,50,2.7959101109,85.6+/-30.6,0.045070508,False,
0.9875,60,2.1210241118,66.1+/-31.2,0.045070508,False,
0.9875,70,3.5569723893,111.8+/-31.4,0.045070508,False,
0.9875,80,2.171277057,66.7+/-30.7,0.045070508,False,
0.9875,90,3.9036948406,127.3+/-32.6,0.045070508,False,
0.9875,100,4.0216327302,132.3+/-32.9,0.045070508,False,
0.9875,110,2.8262156027,90.0+/-31.8,0.045070508,False,
0.9875,140,1.8591519545,59.2+/-31.8,0.045070508,False,
0.9875,160,4.0893183418,136.8+/-33.5,0.045070508,False,
0.9875,190,4.9494802129,173.2+/-35.0,0.045070508,False,
0.99,10,0.102376535,2.2+/-21.8,0.0117707138,False,
0.99,20,2.1040291021,36.4+/-17.3,0.0117707138,False,
0.99,30,2.2066089609,38.3+/-17.4,0.0117707138,False,
0.99,40,2.1707788368,36.2+/-16.7,0.0117707138,False,
0.99,50,3.3677290979,61.3+/-18.2,0.0117707138,False,
0.99,60,3.8405590857,74.1+/-19.3,0.0117707138,False,
0.99,70,3.2756762686,62.6+/-19.1,0.0117707138,False,
0.99,80,4.1503367481,79.7+/-19.2,0.0117707138,False,
0.99,90,3.9567164672,79.7+/-20.1,0.0117707138,False,
0.99,100,3.6016285567,71.6+/-19.9,0.0117707138,False,
0.99,130,4.6972882356,101.1+/-21.5,0.0117707138,False,
0.99,140,4.1277895301,91.0+/-22.0,0.0117707138,False,
0.9925,10,1.1343678292,10.2+/-9.0,0.0030488576,False,
0.9925,20,2.3486006151,23.3+/-10.0,0.0030488576,False,
0.9925,30,2.5792004782,26.9+/-10.4,0.0030488576,False,
0.9925,40,4.2011694185,49.5+/-11.8,0.0030488576,False,
0.9925,60,3.51842476,47.8+/-13.6,0.0030488576,False,
0.995,10,1.9710227674,11.3+/-5.7,0.0003488742,False,
0.995,20,2.6573517982,20.2+/-7.6,0.0003488742,False,
0.995,30,3.8502231273,31.3+/-8.1,0.0003488742,False,
0.995,40,4.9278340401,45.1+/-9.1,0.0003488742,False,
0.995,50,4.2586235192,39.5+/-9.3,0.0003488742,False,
0.9975,10,3.6066890377,13.0+/-3.6,2.02245941176768E-005,False,
0.9975,20,3.9994093619,18.4+/-4.6,2.02245941176768E-005,False,
0.98,240,5.019952794,(3.7+/-0.7)e+02,0.2032875078,True,(2.6+/-0.6)e-09
0.98,330,5.2867091793,(4.0+/-0.8)e+02,0.2032875078,True,(2.8+/-0.6)e-09
0.98,370,6.9954852092,(5.3+/-0.8)e+02,0.2032875078,True,(3.7+/-0.6)e-09
0.98,390,5.3174573612,(4.0+/-0.8)e+02,0.2032875078,True,(2.8+/-0.6)e-09
0.9825,150,5.0008525439,(3.0+/-0.6)e+02,0.1553248828,True,(2.7+/-0.6)e-09
0.9825,270,5.4707122514,(3.4+/-0.6)e+02,0.1553248828,True,(3.1+/-0.6)e-09
0.9825,280,5.4485341178,(3.4+/-0.6)e+02,0.1553248828,True,(3.1+/-0.6)e-09
0.9825,290,5.4588729789,(3.4+/-0.6)e+02,0.1553248828,True,(3.1+/-0.6)e-09
0.9825,300,6.0529579699,(3.8+/-0.6)e+02,0.1553248828,True,(3.4+/-0.7)e-09
0.9825,310,5.1816679435,(3.2+/-0.6)e+02,0.1553248828,True,(2.9+/-0.6)e-09
0.9825,330,6.3889462655,(4.0+/-0.6)e+02,0.1553248828,True,(3.7+/-0.7)e-09
0.9825,340,6.0267210647,(3.8+/-0.6)e+02,0.1553248828,True,(3.5+/-0.7)e-09
0.9825,360,5.6218709361,(3.5+/-0.6)e+02,0.1553248828,True,(3.2+/-0.7)e-09
0.9825,370,6.8537709899,(4.4+/-0.6)e+02,0.1553248828,True,(4.0+/-0.7)e-09
0.9825,380,6.1091633036,(3.9+/-0.6)e+02,0.1553248828,True,(3.5+/-0.7)e-09
0.9825,390,7.1460642141,(4.6+/-0.6)e+02,0.1553248828,True,(4.2+/-0.7)e-09
0.985,220,5.7507830574,(2.8+/-0.5)e+02,0.0933971756,True,(4.3+/-0.9)e-09
0.985,240,5.0270724246,(2.4+/-0.5)e+02,0.0933971756,True,(3.7+/-0.8)e-09
0.985,250,5.6607215341,(2.8+/-0.5)e+02,0.0933971756,True,(4.2+/-0.9)e-09
0.985,260,5.4412324111,(2.7+/-0.5)e+02,0.0933971756,True,(4.1+/-0.9)e-09
0.985,270,5.601749385,(2.8+/-0.5)e+02,0.0933971756,True,(4.2+/-0.9)e-09
0.985,290,6.3950867165,(3.2+/-0.5)e+02,0.0933971756,True,(4.9+/-0.9)e-09
0.985,300,5.1789465055,(2.5+/-0.5)e+02,0.0933971756,True,(3.8+/-0.8)e-09
0.985,310,6.1840236145,(3.1+/-0.5)e+02,0.0933971756,True,(4.7+/-0.9)e-09
0.985,320,7.2851797563,(3.8+/-0.5)e+02,0.0933971756,True,(5.7+/-1.0)e-09
0.985,330,7.469574598,(3.9+/-0.5)e+02,0.0933971756,True,(5.8+/-1.0)e-09
0.985,340,6.0049760012,(3.1+/-0.5)e+02,0.0933971756,True,(4.6+/-0.9)e-09
0.985,350,7.0752594826,(3.7+/-0.5)e+02,0.0933971756,True,(5.5+/-1.0)e-09
0.985,360,7.5204738222,(3.9+/-0.5)e+02,0.0933971756,True,(5.9+/-1.0)e-09
0.985,370,7.0880512967,(3.7+/-0.5)e+02,0.0933971756,True,(5.6+/-1.0)e-09
0.985,380,7.2279802791,(3.8+/-0.5)e+02,0.0933971756,True,(5.8+/-1.0)e-09
0.985,390,6.1900467197,(3.2+/-0.5)e+02,0.0933971756,True,(4.8+/-0.9)e-09
0.9875,120,5.2830604951,177.3+/-33.6,0.045070508,True,(5.5+/-1.2)e-09
0.9875,130,5.0124260027,166.1+/-33.1,0.045070508,True,(5.2+/-1.2)e-09
0.9875,150,5.4206290521,185.0+/-34.1,0.045070508,True,(5.8+/-1.2)e-09
0.9875,170,5.830311214,203.1+/-34.8,0.045070508,True,(6.4+/-1.3)e-09
0.9875,180,5.6536661894,200.7+/-35.5,0.045070508,True,(6.3+/-1.3)e-09
0.9875,200,6.1585583768,(2.2+/-0.4)e+02,0.045070508,True,(6.9+/-1.3)e-09
0.9875,210,5.6702958673,(2.1+/-0.4)e+02,0.045070508,True,(6.5+/-1.3)e-09
0.9875,220,5.7757578843,(2.1+/-0.4)e+02,0.045070508,True,(6.4+/-1.3)e-09
0.9875,230,7.5263227056,(2.8+/-0.4)e+02,0.045070508,True,(8.8+/-1.5)e-09
0.9875,240,5.8089986706,(2.1+/-0.4)e+02,0.045070508,True,(6.6+/-1.3)e-09
0.9875,250,5.7446074183,(2.1+/-0.4)e+02,0.045070508,True,(6.6+/-1.3)e-09
0.9875,260,7.3597972724,(2.8+/-0.4)e+02,0.045070508,True,(8.7+/-1.5)e-09
0.9875,270,8.2350844213,(3.1+/-0.4)e+02,0.045070508,True,(9.8+/-1.5)e-09
0.9875,280,6.906417272,(2.6+/-0.4)e+02,0.045070508,True,(8.0+/-1.4)e-09
0.9875,290,6.7651287663,(2.6+/-0.4)e+02,0.045070508,True,(8.0+/-1.4)e-09
0.9875,300,6.8782173447,(2.7+/-0.4)e+02,0.045070508,True,(8.3+/-1.5)e-09
0.9875,310,8.3856859733,(3.3+/-0.4)e+02,0.045070508,True,(1.03+/-0.16)e-08
0.9875,320,8.0061684607,(3.1+/-0.4)e+02,0.045070508,True,(9.7+/-1.6)e-09
0.9875,330,9.0691311398,(3.6+/-0.4)e+02,0.045070508,True,(1.13+/-0.17)e-08
0.9875,340,8.9649496408,(3.5+/-0.4)e+02,0.045070508,True,(1.10+/-0.17)e-08
0.9875,350,7.2829736016,(2.9+/-0.4)e+02,0.045070508,True,(9.0+/-1.5)e-09
0.9875,360,8.5617249618,(3.5+/-0.4)e+02,0.045070508,True,(1.09+/-0.17)e-08
0.9875,370,9.4299069944,(3.8+/-0.4)e+02,0.045070508,True,(1.19+/-0.17)e-08
0.9875,380,8.8956061771,(3.6+/-0.4)e+02,0.045070508,True,(1.14+/-0.17)e-08
0.9875,390,10.2386576767,(4.2+/-0.4)e+02,0.045070508,True,(1.32+/-0.18)e-08
0.99,110,6.3582418644,142.0+/-22.3,0.0117707138,True,(1.70+/-0.32)e-08
0.99,120,5.937509027,125.7+/-21.2,0.0117707138,True,(1.51+/-0.30)e-08
0.99,150,7.2707148008,167.1+/-23.0,0.0117707138,True,(2.00+/-0.34)e-08
0.99,160,6.800728214,164.3+/-24.2,0.0117707138,True,(1.97+/-0.35)e-08
0.99,170,7.149488319,175.5+/-24.6,0.0117707138,True,(2.1+/-0.4)e-08
0.99,180,7.7721635692,191.0+/-24.6,0.0117707138,True,(2.3+/-0.4)e-08
0.99,190,8.6907010159,217.6+/-25.0,0.0117707138,True,(2.6+/-0.4)e-08
0.99,200,7.1364596677,177.9+/-24.9,0.0117707138,True,(2.1+/-0.4)e-08
0.99,210,9.0589837569,235.3+/-26.0,0.0117707138,True,(2.8+/-0.4)e-08
0.99,220,8.5809338766,229.7+/-26.8,0.0117707138,True,(2.8+/-0.4)e-08
0.99,230,8.7285728178,227.3+/-26.0,0.0117707138,True,(2.7+/-0.4)e-08
0.99,240,9.2609581171,246.0+/-26.6,0.0117707138,True,(2.9+/-0.4)e-08
0.99,250,9.8600185589,276.5+/-28.0,0.0117707138,True,(3.3+/-0.5)e-08
0.99,260,9.5623609722,257.9+/-27.0,0.0117707138,True,(3.1+/-0.4)e-08
0.99,270,10.6502928006,294.2+/-27.6,0.0117707138,True,(3.5+/-0.5)e-08
0.99,280,9.3682567602,262.8+/-28.1,0.0117707138,True,(3.1+/-0.5)e-08
0.99,290,9.6811229897,283.9+/-29.3,0.0117707138,True,(3.4+/-0.5)e-08
0.99,300,11.2383265553,334.2+/-29.7,0.0117707138,True,(4.0+/-0.5)e-08
0.99,310,10.315255125,301.1+/-29.2,0.0117707138,True,(3.6+/-0.5)e-08
