bdt ratio error
0.9 6.20636000809053e-08 6.243193172575214e-09
0.905 6.126483969221548e-08 6.163188716966188e-09
0.91 6.170857202495323e-08 6.208280891545798e-09
0.915 6.007721114499685e-08 6.04455376122385e-09
0.92 5.969613853874892e-08 6.006713570303883e-09
0.925 5.778262022742574e-08 5.814575106580224e-09
0.93 5.624206362767514e-08 5.660158159660227e-09
0.935 5.619548304443522e-08 5.65622352901164e-09
0.94 5.5541454522272224e-08 5.591373788548061e-09
0.945 5.468842760054819e-08 5.506374995983569e-09
0.95 5.319721128838098e-08 5.3571906152061216e-09
0.955 5.2099981141884246e-08 5.24796872617682e-09
0.96 5.07231361236138e-08 5.11092115508914e-09
0.965 4.914843507470355e-08 4.954619219766193e-09
0.97 4.69325242962269e-08 4.734704403173943e-09
0.975 4.2612982400612134e-08 4.304255757921448e-09
0.98 4.479105876509208e-08 4.535624408793957e-09
0.985 5.0796546156170054e-08 5.189727352172638e-09
