probk,ratio,error
-5,7.32177906550031E-010,1.47018820617646E-010
-4.9,7.10071980297947E-010,1.44242523290611E-010
-4.8,7.98725189049891E-010,1.55285454078854E-010
-4.7,1.15492831417157E-009,1.98346265829699E-010
-4.6,8.43495229763643E-010,1.60785363144225E-010
-4.5,1.19913072257557E-009,2.02574563985743E-010
-4.4,7.1079807914475E-010,1.44394636896274E-010
-4.3,7.32986952312464E-010,1.47192444108398E-010
-4.2,7.77898836548551E-010,1.52829373927888E-010
-4.1,7.55902527606661E-010,1.50112629593811E-010
-4,8.23882548020277E-010,1.58573109268364E-010
-3.9,8.24247118622364E-010,1.58646151984239E-010
-3.8,8.24730701835903E-010,1.58738435001946E-010
-3.7,8.25199331569582E-010,1.5882839010072E-010
-3.6,7.80960864874715E-010,1.53416920167087E-010
-3.5,7.14503588903534E-010,1.45149286616429E-010
-3.4,7.15134407104826E-010,1.45281810436615E-010
-3.3,7.60701395394205E-010,1.51059208891209E-010
-3.2,7.61282111274573E-010,1.51168940594813E-010
-3.1,7.17266693901071E-010,1.4571069230387E-010
-3,7.4057917692301E-010,1.48706612504633E-010
-2.9,7.18810294729701E-010,1.46028960366869E-010
-2.8,7.65109994777718E-010,1.63424776342239E-010
-2.7,1.23875199194806E-009,2.08042433154061E-010
-2.6,8.12636301847543E-010,1.57980388005934E-010
-2.5,7.68791293550968E-010,1.65977789257992E-010
-2.4,8.8892986890693E-010,1.92162209902903E-010
-2.3,7.94808295239017E-010,1.56128342786753E-010
-2.2,7.2800516423464E-010,1.47892784870174E-010
-2.1,7.98820087538921E-010,1.56926457377249E-010
