probmu ratio error
1.4 4.566531921236236e-08 4.613674896298481e-09
1.41 4.071683795490438e-08 4.113767620707372e-09
1.42 4.075293269289715e-08 4.117447754132894e-09
1.43 4.0785625489911755e-08 4.120781084525296e-09
1.44 3.8528042764292366e-08 3.892717582375911e-09
1.45 3.854944646999814e-08 3.894899948181111e-09
1.46 3.8568118700208716e-08 3.896803825027982e-09
1.47 3.857958243368432e-08 3.897972710091792e-09
1.48 3.863610452348902e-08 3.9037360052785695e-09
1.49 3.8693632060489664e-08 3.909601978141422e-09
1.5 3.8761349277998577e-08 3.91650717603203e-09
1.51 3.8809309355182014e-08 3.921397849620634e-09
1.52 3.885102344354433e-08 3.92565168514333e-09
1.53 3.8876792644703145e-08 3.928279566564179e-09
1.54 3.7675533912639976e-08 3.806937634844955e-09
1.55 3.774795388117023e-08 3.81432317111711e-09
1.56 3.7809466799035515e-08 3.820596587576289e-09
1.57 3.782808767174375e-08 3.8224956806514376e-09
1.58 3.788812732104469e-08 3.828619080774058e-09
1.59 3.7946582188616934e-08 3.8345810212332e-09
1.6 3.7973516961281576e-08 3.8373282147171795e-09
