bdt ratio error
0.875 1.0389694959634145e-09 2.0681023982777892e-10
0.8775 1.0946676198562772e-09 2.1892588414410028e-10
0.88 8.819416570419389e-10 1.9556460818396475e-10
0.8825 8.897777064954605e-10 1.9857113201707748e-10
0.885 9.030436328840807e-10 1.9002689919988014e-10
0.8875 9.431703510435147e-10 2.0428366748295058e-10
0.89 1.0030986246579922e-09 2.0652816393567503e-10
0.8925 9.039648361514443e-10 2.0110524675986344e-10
0.895 9.33975400058599e-10 2.039727453205608e-10
0.8975 8.683730216621031e-10 1.9353469662668744e-10
0.9 9.342364620916528e-10 2.0347963942902109e-10
0.9025 1.0114015677705183e-09 2.0245623683534844e-10
0.905 1.0927475247267765e-09 2.238820886451767e-10
0.9075 1.124494402858398e-09 2.2373340544861609e-10
0.91 1.2591078848808804e-09 2.3656306506107076e-10
0.9125 9.75171762830843e-10 2.104544779714634e-10
0.915 1.1108697611411164e-09 2.207681913263335e-10
0.9175 1.0672745994904007e-09 2.2614356369624296e-10
0.92 8.221676521579005e-10 1.8317104591489363e-10
0.9225 9.51250792560383e-10 2.0086840993188677e-10
0.925 9.301724002427261e-10 1.9614277387095684e-10
0.9275 8.557831629938102e-10 1.9117737398232843e-10
0.93 9.895835610527e-10 2.0556834952678963e-10
0.9325 8.256345606363742e-10 1.844994659358475e-10
0.935 9.219082230936745e-10 2.0019614933834847e-10
0.9375 9.249135385367032e-10 2.0496103397178086e-10
0.94 8.871127690709996e-10 1.9058157629485205e-10
0.9425 9.47054905889606e-10 1.994077322220898e-10
0.945 9.696475901275706e-10 2.0485268689229992e-10
0.9475 9.549663602795283e-10 2.0916070388788166e-10
