bdt ratio error
0.8 5.760486681454058e-08 5.7909304849797415e-09
0.81 5.779670552518151e-08 5.810396570918613e-09
0.82 5.7255808328107984e-08 5.756341892405647e-09
0.83 5.586713215753749e-08 5.616875944663019e-09
0.84 5.713793535385252e-08 5.745018798180231e-09
0.85 5.536811543882533e-08 5.567367148242299e-09
0.86 5.4795365005378225e-08 5.510064815877788e-09
0.87 5.328512993324575e-08 5.358543768086372e-09
0.88 5.444425892420197e-08 5.475459477166246e-09
0.89 5.279189035360963e-08 5.3097001418200726e-09
0.9 5.226773327275915e-08 5.257504032433583e-09
0.91 5.390187342088056e-08 5.422493838950793e-09
0.92 5.2246562318725327e-08 5.256797375081354e-09
0.93 5.2024391553251897e-08 5.235330891415349e-09
0.94 5.174555159872558e-08 5.208719973382265e-09
0.95 4.945920881968693e-08 4.980213408243565e-09
0.96 4.8657632147727655e-08 4.902366846342173e-09
0.97 4.8292722818249476e-08 4.871135251429139e-09
0.98 5.604580022949091e-08 5.674789521531029e-09
