bdt ratio error
0.0 8.123753114807967e-06 8.198802501489323e-07
0.05 2.1738831540950506e-07 4.124941673743467e-08
0.1 1.774672448182967e-07 3.530338094462314e-08
0.15 1.479220612152389e-07 3.192535782755018e-08
0.2 1.6836127473511332e-07 3.175707995199549e-08
0.25 1.3430430883015909e-07 2.9075664254055456e-08
0.3 2.1469163452405783e-07 3.337261016815884e-08
0.35 1.3097285987325628e-07 2.758437447910348e-08
0.4 1.4914317201581147e-07 2.8059193797765053e-08
0.45 1.3992224718977556e-07 2.6953288857282793e-08
0.5 1.1792242066383592e-07 2.5374843452036583e-08
0.55 1.2311021789578466e-07 2.522340468201139e-08
0.6 1.2211437502086937e-07 2.4892997744663615e-08
0.65 1.1320842745703398e-07 2.3922822003708358e-08
0.7 1.0609745542148026e-07 2.3110449903110476e-08
0.75 1.2404523068753496e-07 2.3480014941536023e-08
0.8 1.0313414297176084e-07 2.18981634581391e-08
0.85 1.2803388592308923e-07 2.304727016760755e-08
0.9 1.1121226844050525e-07 2.145814422416936e-08
0.95 8.96522402635711e-08 1.9647851354845094e-08
