bdt ratio error
0.9 9.941737590305047e-08 2.076763111156922e-08
0.905 1.0239959596539138e-07 2.0798235361494783e-08
0.91 9.400056337294359e-08 2.0418439365872363e-08
0.915 8.988943816448295e-08 1.999920729115925e-08
0.92 1.0949518987387455e-07 2.1139476141282165e-08
0.925 1.0318314825623392e-07 2.069102580268754e-08
0.93 9.706167954330974e-08 2.0397249287165015e-08
0.935 1.1599194204080369e-07 2.1209542910254437e-08
0.94 9.993278571630847e-08 2.043176910115056e-08
0.945 9.97007525757704e-08 2.0101171571867767e-08
0.95 8.867575227344002e-08 1.9492262888457617e-08
0.955 8.970765919529984e-08 1.963055909370559e-08
0.96 8.77151017018157e-08 1.9564537160169664e-08
0.965 1.0309454369714162e-07 2.0349967730858533e-08
0.97 1.2778756500635583e-07 2.23291975199456e-08
0.975 1.0810814555251491e-07 2.1380382223395946e-08
0.98 1.0875925669997992e-07 2.2380168190759956e-08
0.985 1.3676630542532276e-07 2.9533153141447927e-08
