probe ratio error
-10.0 5.79221015960761e-08 1.1852849801985988e-08
-9.0 5.7909767133140486e-08 1.1963118482599307e-08
-8.0 5.491551191108484e-08 1.1535033885455157e-08
-7.0 5.311875416252916e-08 1.171445393531926e-08
-6.0 5.131723125916891e-08 1.1444794061713801e-08
-5.0 5.5911041666434445e-08 1.1951204991591191e-08
-4.0 6.261337223182676e-08 1.2282755154317061e-08
-3.0 5.210961033361507e-08 1.1606219472363636e-08
-2.0 6.243710026131261e-08 1.251584233288256e-08
-1.0 5.273678542169213e-08 1.1014331090297247e-08
0.0 5.540160877851501e-08 1.1231940483715077e-08
1.0 5.261671460662609e-08 1.1289787630002004e-08
2.0 4.9625953148267094e-08 1.0805792954166049e-08
3.0 5.699169561419486e-08 1.198711243117894e-08
4.0 7.136041112279264e-08 1.4057782823472639e-08
5.0 5.370988906609569e-08 1.2042541151368831e-08
6.0 1.5387980094456666e-07 3.412588975007799e-08
