probk ratio error
-3.0 5.082297816186764e-08 1.0778781240687871e-08
-2.9 4.808197092603856e-08 1.0751584915174707e-08
-2.8 4.825527201570892e-08 1.0344824707387254e-08
-2.7 6.829183191391612e-08 1.2151250922177963e-08
-2.6 5.6756354046852816e-08 1.1409570903068087e-08
-2.5 5.176271125877624e-08 1.1122739072388034e-08
-2.4 5.17334065231121e-08 1.1291527274553775e-08
-2.3 4.784643018896975e-08 1.05340654374847e-08
-2.2 6.613797283023686e-08 1.2295625503514111e-08
-2.1 5.990672612812957e-08 1.2343707455532958e-08
-2.0 5.186832312406153e-08 1.1137900707621684e-08
-1.9 5.003509651976073e-08 1.0971110758365723e-08
-1.8 5.905776564163983e-08 1.1700854928233628e-08
-1.7 4.8868683818809664e-08 1.0575894143940402e-08
-1.6 5.6214325311499117e-08 1.1558183601865179e-08
-1.5 5.2675562429029e-08 1.1362709693961387e-08
-1.4 5.020822212982248e-08 1.1096355620022032e-08
-1.3 5.1280662436823863e-08 1.123469721297383e-08
-1.2 5.091692800900245e-08 1.1180708732220054e-08
-1.1 6.060952798271737e-08 1.1812134622331799e-08
