probmu ratio error
-10.0 9.721986369438608e-08 2.0304683788250085e-08
-9.0 1.0656431232880351e-07 2.0777059484716785e-08
-8.0 1.1380542867624543e-07 2.1411877326729623e-08
-7.0 1.2128158922075106e-07 2.167395998420742e-08
-6.0 9.978429611357569e-08 2.045194276937368e-08
-5.0 1.0019207075030707e-07 2.0510711788528204e-08
-4.0 9.822546639103959e-08 2.0583761389680936e-08
-3.0 9.382252042598414e-08 2.020494491877496e-08
-2.0 1.0400791325952603e-07 1.978340770471338e-08
-1.0 8.780321551535636e-08 1.7136375793542283e-08
0.0 6.963639202042794e-08 1.4596211854368529e-08
1.0 6.048008804522654e-08 1.2994033913297512e-08
2.0 5.4969162697111636e-08 1.1745784627089736e-08
3.0 5.7898303542970705e-08 1.1968110849355785e-08
4.0 5.707470313465326e-08 1.1990504360300124e-08
5.0 6.482106126067048e-08 1.3560410565035857e-08
6.0 6.003619868816137e-08 1.089015573834307e-08
7.0 7.366092188004802e-08 1.3706011028203971e-08
8.0 5.860996348896395e-08 1.314384330504246e-08
