probmu ratio error
1.0 6.122865590516177e-08 1.2091675091379475e-08
1.1 5.576665135293993e-08 1.1660182896037534e-08
1.2 6.03489524880581e-08 1.1626799351821922e-08
1.3 5.003359177927643e-08 1.0974387599788937e-08
1.4 5.775426006479267e-08 1.145142917496986e-08
1.5 5.7065753283481824e-08 1.1209253850384087e-08
1.6 5.480367841128775e-08 1.1185332902474447e-08
1.7 4.6177816055404404e-08 1.0233660777445498e-08
1.8 5.774431082941735e-08 1.1493666444502299e-08
1.9 5.263027229523377e-08 1.1124480975043283e-08
2.0 5.3550015539052675e-08 1.1309926795453924e-08
2.1 5.094481706067608e-08 1.1123242949623678e-08
2.2 5.310015618561332e-08 1.129760708696558e-08
2.3 5.5916833195049016e-08 1.1484999227620217e-08
2.4 4.8553977633353655e-08 1.0859330164954178e-08
2.5 5.363353457305552e-08 1.1775928622109513e-08
2.6 5.791364994867332e-08 1.1479328995465373e-08
2.7 5.0912840784450126e-08 1.0956986926580954e-08
2.8 5.096724514471009e-08 1.1323837878713216e-08
2.9 5.606563975421071e-08 1.1875944999917197e-08
