bdt ratio error
0.97 3.084265802519137e-08 3.1131043871044735e-09
0.971 3.159599926812052e-08 3.1897799356968996e-09
0.972 3.259088221695521e-08 3.2910860996595e-09
0.973 3.20400586012991e-08 3.23621779964532e-09
0.974 2.767951097928936e-08 2.796521982871169e-09
0.975 2.88543500202895e-08 2.9163473605227012e-09
0.976 2.762594507267352e-08 2.7933275888462527e-09
0.977 2.8646157711949424e-08 2.8975429605015348e-09
0.978 3.0009156748409445e-08 3.0368912709013993e-09
0.979 3.191227525952097e-08 3.2316834153953147e-09
0.98 3.032828224423563e-08 3.0735155971843705e-09
0.981 3.251850954770018e-08 3.2983591091362155e-09
0.982 3.521013741438506e-08 3.5752032674977506e-09
0.983 3.943599319320751e-08 4.011021237946232e-09
0.984 4.551957830380037e-08 4.6409387181435155e-09
0.985 5.3901569045461813e-08 5.513675559655671e-09
0.986 6.772678421413507e-08 6.965335925305373e-09
0.987 8.510338560013359e-08 8.811228134874142e-09
0.988 1.1483015483380275e-07 1.202352523563892e-08
