probk ratio error
-3.0 3.357284008648832e-08 3.3924745543994744e-09
-2.95 3.357844782356214e-08 3.3930464653319425e-09
-2.9 3.3585165977177464e-08 3.393731625559259e-09
-2.85 3.359961009284994e-08 3.3952047372554276e-09
-2.8 3.361214140748339e-08 3.396482777553228e-09
-2.75 3.3631890480349206e-08 3.398496958331315e-09
-2.7 3.3654561542421974e-08 3.400809175505332e-09
-2.65 3.367830147174627e-08 3.4032304368704787e-09
-2.6 3.3699598786606485e-08 3.4054025999787045e-09
-2.55 3.3716734106981384e-08 3.407150289812394e-09
-2.5 3.2110762054444484e-08 3.2448878737383557e-09
-2.45 3.213953269315811e-08 3.247822371179533e-09
-2.4 3.21790767551836e-08 3.251855796382476e-09
-2.35 3.224174195737702e-08 3.2582477245683665e-09
-2.3 3.2291565542812785e-08 3.2633299556685456e-09
-2.25 3.234274744067884e-08 3.268550891790276e-09
-2.2 3.235803658182703e-08 3.270110528146079e-09
-2.15 3.237579070120026e-08 3.271921632626516e-09
-2.1 3.2450194523736715e-08 3.2795117951924566e-09
-2.05 3.250314800977921e-08 3.2849139400041547e-09
-2.0 3.254940030435056e-08 3.2896325847752283e-09
-1.95 3.26127815082886e-08 3.296098918529508e-09
-1.9 3.08354991158525e-08 3.1165172106862022e-09
-1.85 2.8807561800211634e-08 2.9115735396724044e-09
-1.8 2.884651012747508e-08 2.9155474429985062e-09
-1.75 2.889926399080459e-08 2.9209300874084323e-09
-1.7 2.8978050852986794e-08 2.92896930484682e-09
-1.65 2.9126687463700428e-08 2.9441369386154896e-09
-1.6 2.922629327232539e-08 2.954302039795745e-09
-1.55 2.9309459506867836e-08 2.962789931800434e-09
-1.5 2.70043529842636e-08 2.7298683667699083e-09
-1.45 2.710119408943919e-08 2.7397531799290505e-09
-1.4 2.716842571228953e-08 2.746616077348571e-09
-1.35 2.721878536159189e-08 2.751756924113541e-09
-1.3 2.7304443944186362e-08 2.7605016000728753e-09
-1.25 2.735166229677791e-08 2.7653222329649556e-09
-1.2 2.7407552476790504e-08 2.7710284010368188e-09
-1.15 2.7446065911478513e-08 2.7749606027482376e-09
-1.1 2.7543193558262868e-08 2.784877760342338e-09
-1.05 2.7677002430355084e-08 2.7985413460889624e-09
-1.0 2.779581212124151e-08 2.810674407391208e-09
-0.95 2.7911059293233492e-08 2.822444630625855e-09
-0.9 2.8024149394986162e-08 2.8339954829586514e-09
-0.85 2.812589594870968e-08 2.844388510657374e-09
-0.8 2.8259400203036977e-08 2.8580266004849525e-09
-0.75 2.832955784403724e-08 2.865194049902766e-09
-0.7 2.8488109281199148e-08 2.881393299387383e-09
-0.65 2.8597379858344006e-08 2.8925585631869503e-09
-0.6 2.874714281668445e-08 2.9078627355766613e-09
-0.55 2.8946754161979863e-08 2.928263393735222e-09
-0.5 2.9053627944288715e-08 2.9391872776362313e-09
-0.45 2.9206792886655744e-08 2.954844152720909e-09
-0.4 2.9410667585685677e-08 2.97568731976538e-09
-0.35 2.9610675496772504e-08 2.9961380758378555e-09
-0.3 2.9749400668391133e-08 3.010324381081626e-09
-0.25 3.0002243775271854e-08 3.0361841746459124e-09
-0.2 3.022288979375043e-08 3.0587547406779225e-09
-0.15 3.0368345729455005e-08 3.0736357978338618e-09
-0.1 3.06381897768677e-08 3.1012465772454855e-09
-0.05 3.0797952583824e-08 3.1175961784805495e-09
-1.06581410364e-14 3.102298168311236e-08 3.140628035627571e-09
0.05 3.123947712486923e-08 3.1627899094790758e-09
0.1 3.149465008677509e-08 3.1889153971389042e-09
0.15 3.179685397158762e-08 3.2198621356260477e-09
0.2 3.206503082517392e-08 3.2473298915344402e-09
0.25 3.232956089145473e-08 3.2744291993514598e-09
0.3 3.260173421008808e-08 3.3023167619181415e-09
0.35 3.291781647346698e-08 3.334710033932786e-09
0.4 2.965825411244944e-08 3.0048092078716975e-09
0.45 3.00186512545814e-08 3.0417607561278647e-09
0.5 3.033801913199906e-08 3.07451430882456e-09
0.55 3.066831257612111e-08 3.1083969949705942e-09
0.6 3.097870879397447e-08 3.140246553762695e-09
0.65 3.1358392554174755e-08 3.1792162032522464e-09
