probmu ratio error
-1.0 4.8406299873668186e-08 4.887863088861182e-09
-0.9 4.769068103614699e-08 4.815622032078941e-09
-0.8 4.697967032361711e-08 4.743864233865858e-09
-0.7 4.630363672653688e-08 4.675683653286636e-09
-0.6 4.3968672646720385e-08 4.439990195025484e-09
-0.5 4.232956148253387e-08 4.274560631126751e-09
-0.4 4.0583504756165835e-08 4.0983354155349514e-09
-0.3 3.9728603230109305e-08 4.012112644249847e-09
-0.2 3.986431973095305e-08 4.025937958102381e-09
-0.1 3.89346947646846e-08 3.932137701829287e-09
-2.22044604925e-16 3.691413428889435e-08 3.728223284640367e-09
0.1 3.7059234800730576e-08 3.743007257031531e-09
0.2 3.722666843272979e-08 3.760067953997626e-09
0.3 3.3598669499302436e-08 3.3937600384510864e-09
0.4 3.509060062639083e-08 3.54459449812841e-09
0.5 3.397032373115003e-08 3.4316380343067254e-09
0.6 3.4224332302366135e-08 3.457530133233995e-09
0.7 3.5858229562626216e-08 3.622842594888768e-09
0.8 3.320108282768643e-08 3.354564401747503e-09
0.9 3.1792531930518796e-08 3.212432818455306e-09
1.0 3.199456210915116e-08 3.233036406447704e-09
1.1 3.227662493435109e-08 3.261805930795025e-09
1.2 3.2620181036088095e-08 3.2968538550554787e-09
1.3 2.8990346487797478e-08 2.930223958255759e-09
1.4 2.92832122106675e-08 2.9601111002677306e-09
1.5 2.715339483860816e-08 2.745081721297511e-09
1.6 2.991039178314904e-08 3.024134307616032e-09
1.7 2.788268727255611e-08 2.8195468999867338e-09
1.8 2.8244849458582536e-08 2.8565401108381486e-09
1.9 2.866755834455661e-08 2.899729852475142e-09
2.0 2.9178082867803222e-08 2.9519092193410103e-09
2.1 2.9696119463736247e-08 3.004875577680584e-09
2.2 3.00285064198614e-08 3.038870478183384e-09
2.3 3.053796707834312e-08 3.090991053550817e-09
2.4 3.3827168287502275e-08 3.4245524141033427e-09
2.5 3.164919660871937e-08 3.2047406821098933e-09
2.6 3.248254110006679e-08 3.2901032801975946e-09
2.7 3.3401317576133865e-08 3.384274908077302e-09
2.8 3.047563900187311e-08 3.088630781699241e-09
2.9 3.157703553122208e-08 3.201662351332607e-09
