bdt ratio error
0.875 0.000000001 2.06810239827779E-010
0.8775 1.09466761985628E-009 2.189258841441E-010
0.88 8.81941657041939E-010 1.95564608183965E-010
0.8825 8.89777706495461E-010 1.98571132017077E-010
0.885 9.03043632884081E-010 1.9002689919988E-010
0.8875 9.43170351043515E-010 2.04283667482951E-010
0.89 0.000000001 2.06528163935675E-010
0.8925 9.03964836151444E-010 2.01105246759863E-010
0.895 9.33975400058599E-010 2.03972745320561E-010
0.8975 8.68373021662103E-010 1.93534696626687E-010
0.9 9.34236462091653E-010 2.03479639429021E-010
0.9025 0.000000001 2.02456236835348E-010
0.905 1.09274752472678E-009 2.23882088645177E-010
0.9075 1.1244944028584E-009 2.23733405448616E-010
0.91 1.25910788488088E-009 2.36563065061071E-010
0.9125 0.000000001 2.10454477971463E-010
0.915 1.11086976114112E-009 2.20768191326334E-010
0.9175 1.0672745994904E-009 2.26143563696243E-010
0.92 8.221676521579E-010 1.83171045914894E-010
0.9225 0.000000001 2.00868409931887E-010
0.925 9.30172400242726E-010 1.96142773870957E-010
0.9275 8.5578316299381E-010 1.91177373982328E-010
0.93 0.000000001 2.0556834952679E-010
0.9325 8.25634560636374E-010 1.84499465935848E-010
0.935 9.21908223093675E-010 2.00196149338348E-010
0.9375 9.24913538536703E-010 2.04961033971781E-010
0.94 8.87112769071E-010 1.90581576294852E-010
0.9425 9.47054905889606E-010 1.9940773222209E-010
0.945 0.000000001 2.048526868923E-010
0.9475 0.000000001 2.09160703887882E-010
0.95 0.000000001 2.1059751912366E-010
0.9525 0.000000001 2.01263519352629E-010
0.955 0.000000001 1.97387601367376E-010
0.9575 8.929344062714E-010 1.92983060859738E-010
0.96 1.07933536635952E-009 2.12347337465716E-010
0.9625 1.08522861249571E-009 2.08267998553227E-010
0.965 0.000000001 2.02569282220958E-010
0.9675 7.72292129848203E-010 1.44961798724194E-010
0.97 8.52942657221194E-010 1.5197070495644E-010
0.9725 1.15881818667929E-009 2.31826815441239E-010
0.975 8.81346080094625E-010 1.63481145029799E-010
0.9775 8.11436663962936E-010 1.61100563739199E-010
0.98 9.47073750880827E-010 1.88048969480289E-010
0.9825 1.40613291426679E-009 2.65527463218125E-010
0.985 0.000000002 4.00318274774604E-010
0.9875 3.21539254244689E-009 7.19096375228316E-010
0.99 1.64989277994671E-008 3.35173964369279E-009
