bdt ratio error
0 1.17268975044366E-008 2.61871806030446E-009
0.01 8.21832288509681E-009 1.66182788913153E-009
0.02 0.000000006 1.28687609573294E-009
0.03 5.79619475232298E-009 1.16420915567954E-009
0.04 0.000000005 1.06035229383971E-009
0.05 5.56542429996399E-009 0.000000001
0.06 4.75807685558645E-009 0.000000001
0.07 4.21380458433193E-009 9.19673951819964E-010
0.08 4.16388473678769E-009 8.98107608401699E-010
0.09 4.22358691541733E-009 8.85298565823478E-010
0.1 4.49179356934306E-009 8.83257198234489E-010
0.11 3.7913054941002E-009 8.30095148089375E-010
0.12 3.64471530695779E-009 8.11569592724243E-010
0.13 5.11804473338188E-009 8.81065205027991E-010
0.14 4.83003251843091E-009 8.56438169968167E-010
0.15 4.19537177756234E-009 8.09666211832511E-010
0.16 4.17287377279134E-009 8.03574287139713E-010
0.17 3.38811548160503E-009 7.53640147296936E-010
0.18 3.60023725149918E-009 7.6028169295258E-010
0.19 3.42592859743931E-009 7.42981388830704E-010
0.2 4.07563778595777E-009 7.72274321759977E-010
0.21 3.74614484805567E-009 7.47605578243137E-010
0.22 3.88886074221525E-009 7.50857937593118E-010
0.23 4.15598047954633E-009 7.63665589261816E-010
0.24 3.18736824507159E-009 7.04337494469345E-010
0.25 3.11331434814745E-009 6.92751949654376E-010
0.26 0.000000004 7.42437800640699E-010
0.27 3.37202951489502E-009 7.00147348057089E-010
0.28 3.19664068888565E-009 6.86112830114027E-010
0.29 3.25395292278695E-009 6.86624229194834E-010
0.3 3.09195582117135E-009 6.73432588010571E-010
0.31 3.71577808292007E-009 6.9995348527152E-010
0.32 0.000000003 6.58568507436463E-010
0.33 0.000000003 6.59115944723024E-010
0.34 0.000000003 6.58334710363943E-010
0.35 0.000000003 6.50688051451896E-010
0.36 3.66370766037903E-009 6.82765138140166E-010
0.37 0.000000004 6.99907897504075E-010
0.38 3.32554765982233E-009 6.55844315954043E-010
0.39 0.000000003 6.37244522931895E-010
0.4 3.31521430344331E-009 6.50716623401612E-010
0.41 2.79542153932028E-009 6.20427762036279E-010
0.42 3.06494000168835E-009 6.32318665412565E-010
0.43 3.15716457402308E-009 6.34835814033847E-010
0.44 3.46446929531721E-009 6.47187538374794E-010
0.45 2.85087269600085E-009 6.11328000381273E-010
0.46 3.15034950429204E-009 6.23692283123054E-010
0.47 2.9058461684252E-009 6.0861335487659E-010
0.48 3.44152368993088E-009 6.3646468340165E-010
0.49 2.6783342328027E-009 5.92586505682679E-010
0.5 3.13763975196295E-009 6.094551660822E-010
0.51 2.62454139621403E-009 5.81081074692697E-010
0.52 2.7596340136429E-009 5.88061428030206E-010
0.53 2.63079561893029E-009 5.77719117243559E-010
0.54 2.58865324171841E-009 5.71116480488021E-010
0.55 0.000000003 5.93951447582526E-010
0.56 2.68413553906252E-009 5.69255078159707E-010
0.57 3.37307303228844E-009 6.09025061422369E-010
0.58 2.57847850716551E-009 5.65039143195427E-010
0.59 2.60452347617957E-009 5.61929206964801E-010
0.6 3.19736007234104E-009 5.8903878435691E-010
0.61 2.64545101389698E-009 5.5612767382469E-010
0.62 2.60675385676459E-009 5.51862059209362E-010
0.63 2.50295272992609E-009 5.47534549242647E-010
0.64 2.50807408371813E-009 5.4170382175917E-010
0.65 2.41335648789403E-009 5.34228479140556E-010
0.66 0.000000003 5.63976399796382E-010
0.67 2.80328209056273E-009 5.46357259294773E-010
0.68 2.76723009829809E-009 5.44806164310594E-010
0.69 3.2260701065519E-009 5.66663387878731E-010
0.7 2.30041673680986E-009 5.11920258975542E-010
0.71 2.3762891432979E-009 5.1843010782317E-010
0.72 2.90139536134166E-009 5.40077759751657E-010
0.73 2.3380008597755E-009 5.08636192062008E-010
0.74 2.80873170081133E-009 5.29960810787176E-010
0.75 2.22916365178929E-009 4.9534207455374E-010
0.76 2.31169775778977E-009 4.96374125394413E-010
0.77 2.79724932978671E-009 5.16805902069901E-010
0.78 2.49600161085317E-009 4.98648817526538E-010
0.79 2.34959081760008E-009 4.88423006399385E-010
0.8 2.7719571917212E-009 5.08656771288337E-010
0.81 2.35024385924399E-009 4.82306484720778E-010
0.82 2.19578438576271E-009 4.69749179146766E-010
0.83 2.1466505045583E-009 4.62886363141526E-010
0.84 2.54214075574237E-009 4.81584330248711E-010
0.85 0.000000002 4.46583247896388E-010
0.86 2.43050115924957E-009 4.65711778123814E-010
0.87 2.40843107560261E-009 4.61853861123235E-010
0.88 2.35874143971108E-009 4.51436589128214E-010
0.89 0.000000002 4.30734655469062E-010
0.9 2.83827902990359E-009 4.748883586657E-010
0.91 2.34866483651401E-009 4.3741388144279E-010
0.92 1.86337776772119E-009 4.03291612575054E-010
0.93 1.87596074843876E-009 3.99177495544619E-010
0.94 0.000000002 3.96604235556767E-010
0.95 2.16590323343223E-009 4.0171510804886E-010
0.96 1.61146271118765E-009 3.55493326649083E-010
0.97 1.67949192857271E-009 3.58872448750473E-010
0.98 0.000000002 3.89699181536663E-010
0.99 1.19142635628083E-008 2.53690895385282E-009
