bdt ratio error
0.95 1.005364749588978e-09 2.105975191236602e-10
0.9525 9.69092793617159e-10 2.0126351935262901e-10
0.955 9.764980264644785e-10 1.9738760136737617e-10
0.9575 8.929344062714e-10 1.9298306085973792e-10
0.96 1.079335366359516e-09 2.1234733746571623e-10
0.9625 1.0852286124957052e-09 2.0826799855322725e-10
0.965 9.67700182872202e-10 2.025692822209576e-10
0.9675 7.722921298482026e-10 1.4496179872419368e-10
0.97 8.529426572211935e-10 1.5197070495643974e-10
0.9725 1.1588181866792883e-09 2.3182681544123878e-10
0.975 8.813460800946245e-10 1.6348114502979894e-10
0.9775 8.114366639629359e-10 1.6110056373919906e-10
0.98 9.47073750880827e-10 1.880489694802886e-10
0.9825 1.4061329142667898e-09 2.6552746321812463e-10
0.985 1.9706035399386805e-09 4.0031827477460366e-10
0.9875 3.215392542446893e-09 7.190963752283163e-10
0.99 1.6498927799467062e-08 3.3517396436927914e-09
