probmu ratio error
0.5 9.709817766235633e-10 2.0081099934009137e-10
0.6 7.121567579004248e-10 1.3210796303851536e-10
0.7 6.158268766509507e-10 1.2097522311872967e-10
0.8 6.597320043199661e-10 1.2698375946294273e-10
0.9 6.15197644623337e-10 1.223407234924197e-10
1.0 6.269402130244007e-10 1.2787157339343573e-10
1.1 1.046603754881291e-09 1.747789901585798e-10
1.2 6.65582190127832e-10 1.3075096107865797e-10
1.3 9.740124735716408e-10 2.0565509430163065e-10
1.4 8.067137686422461e-10 1.4964143446188426e-10
1.5 7.411845573964514e-10 1.4265361670967282e-10
1.6 6.739338243800907e-10 1.353187385514148e-10
1.7 7.079640717392896e-10 1.4057768209681988e-10
1.8 7.435742565906674e-10 1.4606313741871917e-10
1.9 7.426677352676428e-10 1.6533191508151341e-10
2.0 7.14541241251289e-10 1.4515550127734014e-10
2.1 7.542932600415867e-10 1.514546021545982e-10
2.2 7.950514519317756e-10 1.578842989395906e-10
2.3 1.2933014557792447e-09 2.1848736747743583e-10
2.4 8.120439739670715e-10 1.6306389689356688e-10
2.5 8.591995511712433e-10 1.706060533832215e-10
2.6 9.36105313499151e-10 1.8194967767237166e-10
2.7 9.331780580806876e-10 1.833128458015449e-10
2.8 9.326764274421873e-10 1.8519290531301341e-10
2.9 9.308976912570398e-10 1.8691518465288924e-10
3.0 9.557925511760424e-10 1.9192649985543775e-10
3.1 1.0132699641120453e-09 2.0121527018102083e-10
3.2 9.520872212160454e-10 1.9575954534220748e-10
