probmu ratio error
-10.0 9.560344386210295e-10 2.0951191682760222e-10
-9.0 1.0816411237603186e-09 2.1596889830368926e-10
-8.0 1.0038005963029801e-09 2.0576971585067554e-10
-7.0 9.721186155757407e-10 2.0981347219937727e-10
-6.0 8.778281445908211e-10 1.957032219551366e-10
-5.0 9.38461886357446e-10 2.0157832942540888e-10
-4.0 1.0847672311696415e-09 2.2019132146878447e-10
-3.0 9.404571082980732e-10 2.0545179447798566e-10
-2.0 9.787322498527502e-10 2.0456728042839816e-10
-1.0 8.853687227584988e-10 1.8868175894436999e-10
0.0 8.661169412853692e-10 1.9070003311068862e-10
1.0 8.349284543336877e-10 1.8036449453915235e-10
2.0 1.014785768285948e-09 2.036663785178535e-10
3.0 1.308961654646481e-09 2.096230173681526e-10
4.0 1.6064857895985543e-09 3.429210762856131e-10
5.0 1.2311814708076323e-09 2.5011242850920645e-10
6.0 1.2799020844684394e-09 2.8623967650047667e-10
