bdt ratio error
0.0 1.1726897504436597e-08 2.6187180603044586e-09
0.01 8.218322885096811e-09 1.661827889131529e-09
0.02 6.0181907604036715e-09 1.2868760957329394e-09
0.03 5.796194752322982e-09 1.1642091556795406e-09
0.04 4.967284691408546e-09 1.06035229383971e-09
0.05 5.565424299963986e-09 1.0446887720753907e-09
0.06 4.7580768555864544e-09 9.725473554809561e-10
0.07 4.213804584331926e-09 9.196739518199641e-10
0.08 4.163884736787693e-09 8.981076084016994e-10
0.09 4.223586915417325e-09 8.852985658234781e-10
0.1 4.491793569343063e-09 8.832571982344888e-10
0.11 3.791305494100205e-09 8.300951480893751e-10
0.12 3.64471530695779e-09 8.115695927242435e-10
0.13 5.11804473338188e-09 8.810652050279906e-10
0.14 4.830032518430908e-09 8.564381699681673e-10
0.15 4.195371777562342e-09 8.096662118325108e-10
0.16 4.172873772791336e-09 8.035742871397129e-10
0.17 3.3881154816050255e-09 7.536401472969362e-10
0.18 3.6002372514991754e-09 7.602816929525802e-10
0.19 3.4259285974393056e-09 7.429813888307038e-10
0.2 4.075637785957774e-09 7.722743217599774e-10
0.21 3.7461448480556706e-09 7.476055782431373e-10
0.22 3.888860742215252e-09 7.508579375931184e-10
0.23 4.1559804795463245e-09 7.636655892618162e-10
0.24 3.187368245071591e-09 7.043374944693452e-10
0.25 3.1133143481474517e-09 6.927519496543762e-10
0.26 4.032909934324178e-09 7.424378006406994e-10
0.27 3.3720295148950196e-09 7.001473480570886e-10
0.28 3.196640688885649e-09 6.861128301140268e-10
0.29 3.2539529227869544e-09 6.866242291948335e-10
