bdt ratio error
0.9 7.840093717853963e-10 1.739214256510284e-10
0.901 9.768573697709228e-10 1.958281293951677e-10
0.902 9.262090034756721e-10 1.8472588999760488e-10
0.903 7.974848025867503e-10 1.7352344926406896e-10
0.904 8.795349132624331e-10 1.8538961182816065e-10
0.905 7.850634613876607e-10 1.754207893611602e-10
0.906 8.310838179066289e-10 1.7039408221167398e-10
0.907 9.554345177567945e-10 1.83872189943692e-10
0.908 8.978361672065137e-10 1.844761503684142e-10
0.909 9.06192424337192e-10 1.835269750659161e-10
0.91 7.630978666378734e-10 1.6704339057482795e-10
0.911 9.998553588419752e-10 1.8818360568818395e-10
0.912 7.723932937500497e-10 1.6442657563668814e-10
0.913 7.667769528741001e-10 1.6655360383787513e-10
0.914 8.138717377782741e-10 1.7042138253712415e-10
0.915 8.477305600006091e-10 1.7515812078680582e-10
0.916 9.546166644319431e-10 1.7928134546237385e-10
0.917 7.657252255163294e-10 1.6762595125175533e-10
0.918 6.967993984734145e-10 1.19161469181819e-10
0.919 8.543426568721814e-10 1.767931153166992e-10
0.92 8.993862091757785e-10 1.7857754011991738e-10
0.921 7.507339687309595e-10 1.6540780370849325e-10
0.922 9.31294401225709e-10 1.8965171663422051e-10
0.923 8.552341441093124e-10 1.8489384078970552e-10
0.924 9.04687671864615e-10 1.9107427918946713e-10
0.925 9.78333197680711e-10 1.8443324515848257e-10
0.926 7.610717984837225e-10 1.6759325483047948e-10
0.927 8.671401216399561e-10 1.798609900576942e-10
0.928 7.886219841930579e-10 1.6535973306210894e-10
0.929 8.494738909747386e-10 1.8140502088864832e-10
0.93 8.670048909094551e-10 1.7606663852171972e-10
0.931 8.93134814686895e-10 1.7745786399527828e-10
0.932 7.140727125609774e-10 1.5679573844189332e-10
0.933 1.0035952306929925e-09 1.9306810940195795e-10
0.934 8.02717882833594e-10 1.767451558489033e-10
0.935 7.255944375770598e-10 1.6014574310323717e-10
0.936 7.3643426220097e-10 1.6115576094261767e-10
0.937 7.767740709689485e-10 1.6931005033978832e-10
0.938 7.695949996272139e-10 1.721001250081944e-10
0.939 8.450492527609684e-10 1.7496177572695254e-10
0.94 7.405497898154655e-10 1.5485309664049075e-10
0.941 7.77287661343627e-10 1.6682772889546136e-10
0.942 6.6861482813064e-10 1.1934953323772518e-10
0.943 8.962586210601159e-10 1.8304941885998842e-10
0.944 7.632317347535396e-10 1.695546104320152e-10
0.945 6.662055071360454e-10 1.4560313326458353e-10
0.946 8.609058332667219e-10 1.8415034989876112e-10
0.947 6.835029391190151e-10 1.5059347537023024e-10
0.948 7.181846929377674e-10 1.2614714445233586e-10
0.949 9.653055769778506e-10 1.5458195399767012e-10
0.95 8.448225148692687e-10 1.7998991878754163e-10
0.951 7.733765555866621e-10 1.5943708245503066e-10
0.952 8.583082383674577e-10 1.7288509167832662e-10
0.953 9.461947131843462e-10 1.830569804960032e-10
0.954 8.825525752305876e-10 1.8405452261158432e-10
0.955 7.288670209897985e-10 1.620132150121332e-10
0.956 8.069399582530904e-10 1.7962891550414219e-10
0.957 6.076710646323065e-10 1.3559191729450567e-10
0.958 7.324305046808113e-10 1.591188750317438e-10
0.959 9.809934849732186e-10 1.6023731606956233e-10
0.96 7.853377764286899e-10 1.6847512398045476e-10
0.961 7.011149793366153e-10 1.2896389060139998e-10
0.962 6.75426617270458e-10 1.2663399241612423e-10
0.963 6.150707296440211e-10 1.195793143105281e-10
0.964 6.534691208139142e-10 1.4151483581425443e-10
0.965 6.498105270942735e-10 1.2529772111744827e-10
0.966 7.239381431117448e-10 1.579900115986583e-10
0.967 1.0192292024124974e-09 1.7016108768916178e-10
0.968 6.674654359953661e-10 1.2976518502801037e-10
0.969 6.611078459597863e-10 1.2987567189969117e-10
0.97 6.938176530273071e-10 1.3494181289400586e-10
0.971 6.70100337292582e-10 1.3306191088339475e-10
0.972 7.285126336427058e-10 1.4163058434215251e-10
0.973 7.712759578547511e-10 1.4845058596139112e-10
0.974 7.092172260775095e-10 1.4252169476938382e-10
0.975 1.2276455605296937e-09 2.0616601369982077e-10
0.976 7.635580910128328e-10 1.5332678134799486e-10
0.977 7.956826825026047e-10 1.6058729320913842e-10
0.978 8.583235448902408e-10 1.704352130490199e-10
0.979 8.289373797239658e-10 1.7044611815504892e-10
0.98 8.880257583711934e-10 1.8297652121819512e-10
0.981 9.938910125920123e-10 2.019069957059099e-10
0.982 1.239531860773922e-09 2.4098628669993387e-10
0.983 1.2638069732232757e-09 2.5673914221082473e-10
0.984 1.7251945068500505e-09 3.3540208224975064e-10
0.985 1.5487866809739494e-09 3.4637353755412843e-10
0.986 2.0676508814356867e-09 4.624133886308316e-10
0.987 2.7544180185950126e-09 6.160031829826306e-10
0.988 3.8382974260223285e-09 8.584039857492461e-10
0.989 6.064509960312628e-09 1.356278263952913e-09
