probk ratio error
-5.0 7.048989288580167e-10 1.3310908301416158e-10
-4.99 7.247113349088172e-10 1.5912085645361713e-10
-4.98 6.687302016207063e-10 1.28709863024605e-10
-4.97 8.993820489385976e-10 1.946608344543065e-10
-4.96 6.504668570894487e-10 1.264676458604539e-10
-4.95 8.094361487158552e-10 1.7932306535221602e-10
-4.94 7.22568488346933e-10 1.3561873891357748e-10
-4.93 1.0130931647596488e-09 1.6912581031172274e-10
-4.92 7.049085391728915e-10 1.331119594238978e-10
-4.91 6.506686539114642e-10 1.2649694599414334e-10
-4.9 6.506819272736278e-10 1.2649902502457143e-10
-4.89 6.328353823084676e-10 1.2430597229506275e-10
-4.88 8.980174232289531e-10 1.9214302266240628e-10
-4.87 6.326828434336174e-10 1.243077079041909e-10
-4.86 6.688080574078539e-10 1.2873264629007386e-10
-4.85 6.513362924680595e-10 1.2660610228199898e-10
-4.84 7.590537049745387e-10 1.3961395281764894e-10
-4.83 6.694922559327783e-10 1.2883606716653157e-10
-4.82 6.326988216557576e-10 1.2428995335873674e-10
-4.81 7.361740785024318e-10 1.6289029858332913e-10
-4.8 6.328820280855371e-10 1.2432083338493434e-10
-4.79 1.066908621915472e-09 1.7520553248486845e-10
-4.78 9.102752641729834e-10 1.8953535521111543e-10
-4.77 6.697355834486377e-10 1.2887745709618296e-10
-4.76 6.693813155471708e-10 1.288234338782184e-10
-4.75 7.050568365444198e-10 1.331460539977915e-10
-4.74 6.873088975842756e-10 1.4317898239259185e-10
-4.73 6.508702051758678e-10 1.2654243882202418e-10
-4.72 6.512246786702541e-10 1.265972953944598e-10
-4.71 1.1216283754111022e-09 1.8136335731369811e-10
-4.7 6.871656500197802e-10 1.3098398389578398e-10
-4.69 1.0635553592724895e-09 2.053593740543826e-10
-4.68 6.331247185764136e-10 1.2436458024086122e-10
-4.67 6.69167694953006e-10 1.2879239335191255e-10
-4.66 6.874297854353354e-10 1.310253623192853e-10
-4.65 6.879136282016163e-10 1.3110208572868964e-10
-4.64 1.1368786077653721e-09 2.1860275905824682e-10
-4.63 6.51068802063302e-10 1.265739816053964e-10
-4.62 6.329898296348585e-10 1.243440300250435e-10
-4.61 6.689181663751051e-10 1.2875659021186793e-10
-4.6 6.516978865114793e-10 1.2720475922472786e-10
-4.59 6.701122152730577e-10 1.2894289512001173e-10
-4.58 6.330990694918194e-10 1.2436164597074247e-10
-4.57 7.602128616727281e-10 1.3998326329944597e-10
-4.56 7.054778102398902e-10 1.332189005778298e-10
-4.55 6.339187407785784e-10 1.2449899762377586e-10
-4.54 6.510567889711288e-10 1.2658713958844557e-10
-4.53 9.940544870382337e-10 2.1770746949172325e-10
-4.52 7.092962540993182e-10 1.5585254082381094e-10
-4.51 6.333361948340907e-10 1.2440851672953914e-10
-4.5 8.319707840905165e-10 1.4827495800185878e-10
-4.49 6.889610943222873e-10 1.5377703460794052e-10
-4.48 6.511936132299455e-10 1.2660535986795879e-10
-4.47 6.512972834815972e-10 1.2662637203414323e-10
-4.46 6.517732364277527e-10 1.266964841295068e-10
-4.45 7.780466768243514e-10 1.419245217988766e-10
-4.44 6.693665147412162e-10 1.2883601861396698e-10
-4.43 7.789103907365672e-10 1.4205618492261145e-10
-4.42 7.057005092844367e-10 1.332677661200367e-10
-4.41 6.515359084116947e-10 1.266638651603837e-10
-4.4 9.814626148097483e-10 2.047578141687063e-10
-4.39 9.965409234439728e-10 1.6874077476216246e-10
-4.38 6.334407644028284e-10 1.244358601893546e-10
-4.37 6.877418547298555e-10 1.310954700882899e-10
-4.36 6.51667336779406e-10 1.266872111026727e-10
-4.35 9.985044051542077e-10 2.0148019178786384e-10
-4.34 6.512250630150744e-10 1.266301967918996e-10
-4.33 7.801134095991704e-10 1.6462748062228766e-10
-4.32 7.015671552144909e-10 1.5556736494154918e-10
-4.31 8.329539179568223e-10 1.4842680075982212e-10
-4.3 6.521520240584943e-10 1.267657035656085e-10
-4.29 8.611187131237456e-10 1.8708278758559494e-10
-4.28 6.696840979877462e-10 1.288980811645366e-10
-4.27 6.343323291043439e-10 1.2475122363290191e-10
-4.26 6.33492862875719e-10 1.2444822427493527e-10
-4.25 9.956760441088664e-10 1.6720910654823085e-10
-4.24 6.878450004335204e-10 1.3112616363330055e-10
-4.23 6.697209591792429e-10 1.2892163470925385e-10
-4.22 7.06161661955485e-10 1.3335102951504166e-10
-4.21 6.702030649054073e-10 1.2899047923361536e-10
-4.2 6.337157044208858e-10 1.2449746477178884e-10
-4.19 6.521554494744191e-10 1.2677977269651402e-10
-4.18 7.242415573632968e-10 1.3554526163321191e-10
-4.17 6.520166742184101e-10 1.2676694144662266e-10
-4.16 6.522026443279804e-10 1.2679467798868596e-10
-4.15 7.771578563205978e-10 1.692832079711532e-10
-4.14 6.523105387492738e-10 1.2681388306376138e-10
-4.13 9.281733701587409e-10 2.0636747018022023e-10
-4.12 6.885533806453172e-10 1.3124841505931054e-10
-4.11 6.70331404058276e-10 1.2902323454645738e-10
-4.1 9.684242463840122e-10 2.0299749844798428e-10
-4.09 8.616313829082556e-10 1.8584701268977032e-10
-4.08 6.524135884892823e-10 1.268392920879126e-10
-4.07 6.343872709341043e-10 1.2462332929070382e-10
-4.06 6.706467512966963e-10 1.2908394572380106e-10
-4.05 6.354579247101745e-10 1.2479779103733484e-10
-4.04 6.88871230181542e-10 1.31334667972097e-10
-4.03 6.870002409150498e-10 1.531459628840238e-10
-4.02 6.345780512352235e-10 1.2466193135031755e-10
-4.01 7.615032146165117e-10 1.400652249482539e-10
-4.0 7.215382171778245e-10 1.5902325510651104e-10
-3.99 1.0882944272810297e-09 1.7778130755318866e-10
-3.98 6.710201531516475e-10 1.291589814579985e-10
-3.97 7.256869739297709e-10 1.3579784872148894e-10
-3.96 9.976554484495135e-10 1.675402478220944e-10
-3.95 6.893243238063393e-10 1.3139687077381702e-10
-3.94 9.510620276649535e-10 1.959298870079842e-10
-3.93 6.532006402261305e-10 1.2698802576847479e-10
-3.92 6.355770928142427e-10 1.248347312594582e-10
-3.91 7.07858272167866e-10 1.3366259569825734e-10
-3.9 1.0707831476404378e-09 1.758401557341854e-10
-3.89 6.526672825737899e-10 1.4274241489104369e-10
-3.88 6.901688912751742e-10 1.3369326015926399e-10
-3.87 7.259123771364982e-10 1.3584069067835918e-10
-3.86 8.027305696689295e-10 1.7780814151760549e-10
-3.85 6.534229261376977e-10 1.2703077895659935e-10
-3.84 6.715769642326559e-10 1.2925861161530353e-10
-3.83 7.80568408374617e-10 1.42384691133001e-10
-3.82 6.534947324498409e-10 1.2704821411523898e-10
-3.81 7.081991472708883e-10 1.337276331426812e-10
-3.8 6.352128721144615e-10 1.2479232219713575e-10
-3.79 6.899176683924757e-10 1.3172215995318134e-10
-3.78 7.265243310818464e-10 1.359519430132326e-10
-3.77 9.660839054336438e-10 2.0465542351034577e-10
-3.76 6.335227807193808e-10 1.3975099730917236e-10
-3.75 6.719911207597408e-10 1.2933790484637474e-10
-3.74 7.629263508048219e-10 1.4031888617468333e-10
-3.73 6.902108678400112e-10 1.3156433637025546e-10
-3.72 6.360414696107686e-10 1.2553840524653704e-10
-3.71 6.35816769860032e-10 1.2490092595228864e-10
-3.7 6.363889833110107e-10 1.2592883086879055e-10
-3.69 7.809720708418815e-10 1.4247180823647115e-10
-3.68 7.62580873420878e-10 1.6588309026823468e-10
-3.67 7.202318980798214e-10 1.5991700081886057e-10
-3.66 7.269789605689181e-10 1.3604064563034746e-10
-3.65 6.542945062176312e-10 1.2720503557633647e-10
-3.64 9.78682720589789e-10 2.0268477376614913e-10
-3.63 6.724813628076827e-10 1.2943469708991223e-10
-3.62 6.72442149373631e-10 1.2943781086187834e-10
-3.61 6.545688807715237e-10 1.272493441416752e-10
-3.6 7.453694639133138e-10 1.382624080231063e-10
-3.59 6.546845931502042e-10 1.272706631347594e-10
-3.58 6.907978109474881e-10 1.3167949666700693e-10
-3.57 6.363751538516817e-10 1.2500895950840603e-10
-3.56 6.365407712846873e-10 1.2503703332794173e-10
-3.55 7.93416899179592e-10 1.6585710494702333e-10
-3.54 7.458249876804791e-10 1.3833797295311974e-10
-3.53 7.43622600474969e-10 1.561146735653106e-10
-3.52 8.401372178619983e-10 1.8470492293746414e-10
-3.51 6.732448679774606e-10 1.295703821641096e-10
-3.5 8.125305798588756e-10 1.708871843793457e-10
-3.49 6.554747476116076e-10 1.2740986780233597e-10
-3.48 9.672701331033164e-10 1.9826618629432315e-10
-3.47 6.733847789170582e-10 1.296061565816995e-10
-3.46 6.732283204706117e-10 1.2959480097279073e-10
-3.45 6.369846589990088e-10 1.2531802759233764e-10
-3.44 7.857093712965422e-10 1.7451674808894618e-10
-3.43 6.369114714315969e-10 1.2764054868222889e-10
-3.42 7.836419598186232e-10 1.4303777705462174e-10
-3.41 7.086435231234669e-10 1.5691033872225987e-10
-3.4 6.554318643450202e-10 1.274277654371749e-10
-3.39 6.554737865733561e-10 1.2743392426222068e-10
