probmu ratio error
0.0 9.7042793808686e-10 1.982978677124257e-10
0.01 9.113405158228629e-10 1.8881797462692428e-10
0.02 8.131614386650192e-10 1.7082183679145942e-10
0.03 7.340307686919298e-10 1.3181770343457103e-10
0.04 8.242030375469819e-10 1.7682028193484062e-10
0.05 9.967324700178683e-10 1.6199407002506059e-10
0.06 8.961932447628061e-10 1.9158157886636498e-10
0.07 7.087142161401953e-10 1.580463316175228e-10
0.08 9.041122306929224e-10 1.924642955295814e-10
0.09 1.017178048033594e-09 1.644932131280633e-10
0.1 9.387232062883871e-10 1.8644701426029826e-10
0.11 8.595647155395116e-10 1.8756660489536993e-10
0.12 9.251304223644088e-10 1.9256109946805738e-10
0.13 6.761997488089986e-10 1.2543167290277175e-10
0.14 8.294361643721104e-10 1.7831661801903998e-10
0.15 1.1229042232814028e-09 1.9669159177451083e-10
0.16 9.52132607371981e-10 1.9521258416819475e-10
0.17 1.0384760680773053e-09 2.0442188692107196e-10
0.18 7.128083134500287e-10 1.3002169170124206e-10
0.19 8.389605196834433e-10 1.6845166753849942e-10
0.2 7.137270301069708e-10 1.3020295500065369e-10
0.21 9.86836309550083e-10 1.996104715377984e-10
0.22 1.0470473397073666e-09 2.1132197118587706e-10
0.23 8.489984004426341e-10 1.5820560581683564e-10
0.24 6.501904764041362e-10 1.2278449453766495e-10
0.25 6.50916043324768e-10 1.2291499272925e-10
0.26 1.0190448055213174e-09 1.6561443512025016e-10
0.27 6.857486338094275e-10 1.272024762313062e-10
0.28 7.707455066130433e-10 1.3734671910341218e-10
0.29 9.066056956063362e-10 1.9568562725500602e-10
0.3 1.1564471571427414e-09 2.088400709217339e-10
0.31 8.226728108847791e-10 1.4350257723638827e-10
0.32 1.0415780198526265e-09 1.6844203313281015e-10
0.33 8.116796575168036e-10 1.744007365210219e-10
0.34 1.0283912707935845e-09 1.6715584226398902e-10
0.35 1.0802135496185244e-09 1.7381796517825433e-10
0.36 8.608286800844223e-10 1.4817021562377451e-10
0.37 7.434020859916321e-10 1.345427376356417e-10
