probe ratio error
-2.0 4.2390847301822886e-08 4.285657803742581e-09
-1.9 4.250575244180877e-08 4.2973883570203274e-09
-1.8 4.271350400865863e-08 4.318599065278426e-09
-1.7 4.157945240884373e-08 4.2040665992337624e-09
-1.6 3.2242626415145366e-08 3.2601442616889178e-09
-1.5 3.241847751333392e-08 3.2781021867332885e-09
-1.4 3.256444612691637e-08 3.2930099627658457e-09
-1.3 3.271735465931419e-08 3.308627925439607e-09
-1.2 3.2853463262421006e-08 3.322531171839177e-09
-1.1 3.3021808434404647e-08 3.3397289092283636e-09
-1.0 3.3120744474513535e-08 3.349836794085737e-09
-0.9 3.331116857641229e-08 3.369293337523707e-09
-0.8 2.5631140315302338e-08 2.5926207634084707e-09
-0.7 2.582123993108245e-08 2.6120486774435266e-09
-0.6 2.598895436421657e-08 2.629191278752181e-09
-0.5 2.622739944120783e-08 2.6535673813483097e-09
-0.4 2.643416527074016e-08 2.67470864642666e-09
-0.3 2.665798862457104e-08 2.697597886220222e-09
-0.2 2.6901160740330538e-08 2.722470402386873e-09
-0.1 2.713487948576243e-08 2.7463804885601677e-09
1.7763568394e-15 2.7431150341582594e-08 2.7766961628472797e-09
0.1 2.7628585536979818e-08 2.796902488156352e-09
0.2 2.7912930666245194e-08 2.8260090532963002e-09
0.3 2.829010010582966e-08 2.8646274956309833e-09
0.4 2.8534604403213077e-08 2.8896684563923297e-09
0.5 2.8930368641645106e-08 2.930210944937506e-09
0.6 2.9294598654155104e-08 2.9675341846952385e-09
0.7 2.9661446507948013e-08 3.0051364785355804e-09
0.8 2.998210631196535e-08 3.038013323782965e-09
0.9 3.044051241419983e-08 3.085027497809121e-09
