probe ratio error
3.0 1.3564705459832088e-09 2.5476752613750613e-10
3.1 1.217349579708492e-09 2.3891293859738263e-10
3.2 1.0055835307772474e-09 2.2121409896668517e-10
3.3 1.0042519789859686e-09 2.2310579314274456e-10
3.4 1.2275529469145198e-09 2.4021543605097547e-10
3.5 1.1693988866014988e-09 2.4056302459496587e-10
3.6 1.054555478766683e-09 2.1956040415954545e-10
3.7 1.3110924101130268e-09 2.468385281189689e-10
3.8 1.1451658920780588e-09 2.2526402182315736e-10
3.9 1.0441177024260167e-09 2.095234829435993e-10
4.0 1.0377132073171745e-09 2.13588194063552e-10
4.1 9.637955182791767e-10 2.062708488224837e-10
4.2 1.1221599739394818e-09 2.239684928023735e-10
4.3 1.4238387494728137e-09 2.6033346811645445e-10
4.4 1.232092685049637e-09 2.330138166596354e-10
4.5 1.205079262204816e-09 2.2708100390366894e-10
4.6 9.919997721777071e-10 2.1153207433981956e-10
4.7 1.5381690092710998e-09 2.741226712931205e-10
4.8 1.3144270160569559e-09 2.651254921902088e-10
4.9 1.605459558609583e-09 3.364483144000139e-10
