probe ratio error
-10.0 1.7968563325067577e-09 3.6900900034236017e-10
-9.0 1.6678626428839812e-09 3.595252052966867e-10
-8.0 1.771233444380864e-09 3.654774543340695e-10
-7.0 1.7095319927770816e-09 3.6354820328215723e-10
-6.0 1.728193870503183e-09 3.6666330929368026e-10
-5.0 1.7019863513239157e-09 3.6331296183671393e-10
-4.0 1.5923874737157536e-09 3.537892267274145e-10
-3.0 1.6336719010671945e-09 3.636135702696733e-10
-2.0 1.7082410159164538e-09 3.5917673367090344e-10
-1.0 1.5476624484744616e-09 3.4259490805834887e-10
0.0 1.5472011981394954e-09 3.318514896268551e-10
1.0 1.5118692708109194e-09 3.142598279717055e-10
2.0 1.4284544953457553e-09 2.8787401071394717e-10
3.0 1.4618785936602985e-09 2.684957227484446e-10
4.0 9.638995597958777e-10 1.9986614546692272e-10
5.0 1.209222486893845e-09 2.3933664460862887e-10
6.0 1.2568441417877729e-09 2.4956746890333314e-10
