probk ratio error
-3.0 5.039116058178419e-08 5.090074826889914e-09
-2.9 5.0408932571313906e-08 5.091886018343227e-09
-2.8 5.045066702928374e-08 5.096139333887736e-09
-2.7 4.974746758182485e-08 5.025166801735083e-09
-2.6 4.9811420991708726e-08 5.031684807410364e-09
-2.5 4.908612055379783e-08 4.958475237243063e-09
-2.4 4.918642688511907e-08 4.968698791456229e-09
-2.3 4.8540761783535484e-08 4.903623083302963e-09
-2.2 4.6940287442982566e-08 4.742015348867691e-09
-2.1 4.7073253908127096e-08 4.755569539468582e-09
-2.0 4.7211397886885393e-08 4.769652234192413e-09
-1.9 4.266897944695927e-08 4.310856471984653e-09
-1.8 4.173166181763712e-08 4.2162446524356694e-09
-1.7 4.0853669282634685e-08 4.1277189277451055e-09
-1.6 4.118698720700037e-08 4.161707523243364e-09
-1.5 3.6525662530912605e-08 3.690901753280382e-09
-1.4 3.674008358202434e-08 3.7127714341589208e-09
-1.3 3.550994571396939e-08 3.5886304811306433e-09
-1.2 3.565600085735022e-08 3.603530009798075e-09
-1.1 3.582369163265804e-08 3.6206380547586623e-09
-1.0 3.6139247012170804e-08 3.652835508051411e-09
-0.9 3.7877708973718136e-08 3.8288418583370094e-09
-0.8 3.817414630775085e-08 3.8590978442496106e-09
-0.7 3.7023840361107354e-08 3.7431225563227024e-09
-0.6 3.735429977108867e-08 3.776861957970233e-09
-0.5 3.7790936065697513e-08 3.8214507628429035e-09
-0.4 3.9757933819849555e-08 4.020823845235265e-09
-0.3 3.86762531182228e-08 3.911889449468795e-09
-0.2 3.926581289398962e-08 3.9721384522028285e-09
-0.1 3.982868143818874e-08 4.029677026179705e-09
2.6645352591e-15 3.863700428693488e-08 3.909660327881154e-09
0.1 3.923028542354732e-08 3.970343276813221e-09
0.2 3.996708258533245e-08 4.045732746785399e-09
0.3 4.0639509589229104e-08 4.114562103707081e-09
0.4 3.94067707038692e-08 3.990600731602631e-09
0.5 4.02983612907478e-08 4.081941495021248e-09
0.6 2.974509620398409e-08 3.0137121782526257e-09
0.7 3.0420108338278435e-08 3.082934494151412e-09
0.8 3.107151821331358e-08 3.1497711747749088e-09
0.9 3.177476721821707e-08 3.2219650322969604e-09
1.0 3.2547353881821626e-08 3.3013227733123712e-09
1.1 3.3067678192118274e-08 3.354795934883135e-09
1.2 3.404634319827485e-08 3.455431205250018e-09
1.3 3.4792407945436555e-08 3.5322000649099135e-09
1.4 3.542908722092654e-08 3.597748671463832e-09
1.5 3.598960234411034e-08 3.6554828061531918e-09
1.6 3.671042549868769e-08 3.729766019506517e-09
1.7 3.76338207289946e-08 3.82498582240946e-09
1.8 3.82055137589714e-08 3.883972616769848e-09
1.9 3.89416869693868e-08 3.959968899344568e-09
