probk ratio error
-10.0 9.191173898686863e-10 2.0154563855434956e-10
-9.0 1.0454269083536135e-09 2.1821834013212302e-10
-8.0 1.0449631288091266e-09 2.1305088786545731e-10
-7.0 1.0949713704851874e-09 2.13940659000379e-10
-6.0 1.0469910355695253e-09 2.1079386682440452e-10
-5.0 9.920299370358577e-10 2.065831616053355e-10
-4.0 9.254036173055807e-10 2.04159649085125e-10
-3.0 1.0190856458972128e-09 2.094161661102541e-10
-2.0 1.0885550061825597e-09 2.133560252733689e-10
-1.0 1.0544758811721833e-09 2.1614937902128822e-10
0.0 1.0361124949169787e-09 2.2517212454181542e-10
1.0 1.0754216773439235e-09 2.3939378067826336e-10
2.0 1.6482682469405443e-09 3.359089006471779e-10
3.0 1.6771763696165304e-09 3.679018240578744e-10
4.0 1.856341651495124e-09 4.08528122701665e-10
5.0 2.0260063637357388e-09 4.342403484060348e-10
6.0 1.9304431100509595e-09 3.921811900627228e-10
