probmu ratio error
-10.0 4.253447562526985e-08 4.314362102028987e-09
-9.0 4.253447562526985e-08 4.314362102028987e-09
-8.0 4.253447562526985e-08 4.314362102028987e-09
-7.0 4.254496314003335e-08 4.315439692181025e-09
-6.0 4.2564146206990285e-08 4.317410766184713e-09
-5.0 4.2589592460350577e-08 4.320025422065195e-09
-4.0 4.2589592460350577e-08 4.320025422065195e-09
-3.0 4.2632411519701554e-08 4.324425260124767e-09
-2.0 4.275415579925007e-08 4.336935612251327e-09
-1.0 4.303158439431997e-08 4.365447376675192e-09
0.0 3.766714773337969e-08 3.822303532211991e-09
1.0 3.96213827230054e-08 4.0234066857355065e-09
2.0 4.3922531879356825e-08 4.466986018374013e-09
