probmu ratio error
1.3 4.4095774222987545e-08 4.459774965535617e-09
1.31 4.41938981097893e-08 4.469800054273553e-09
1.32 4.420471193800246e-08 4.470904905186788e-09
1.33 4.4280711741025366e-08 4.478669972593362e-09
1.34 4.302448475920625e-08 4.351664974193591e-09
1.35 4.3046662374860505e-08 4.3539310154039625e-09
1.36 4.309874682190235e-08 4.359252937891084e-09
1.37 4.3150679011200615e-08 4.3645594318439835e-09
1.38 4.319619441128921e-08 4.36921035640201e-09
1.39 4.3246643644931196e-08 4.37436555310521e-09
1.4 4.327008096494485e-08 4.376760556395315e-09
1.41 2.5631140315302338e-08 2.5926207634084707e-09
1.42 2.56500050281748e-08 2.594548580240916e-09
1.43 2.5673204185635512e-08 2.5969193806588526e-09
1.44 2.5697822813421352e-08 2.599435289059935e-09
1.45 2.5707312366225637e-08 2.600405089951799e-09
1.46 2.5727512340426995e-08 2.6024694846669495e-09
1.47 2.5736135845453558e-08 2.6033507987042083e-09
1.48 2.5770575066723717e-08 2.6068705143102377e-09
1.49 2.5800341741623345e-08 2.609912769110159e-09
