bdt ratio error
0.3 3.0919558211713545e-09 6.734325880105715e-10
0.31 3.715778082920067e-09 6.999534852715202e-10
0.32 2.9911365836469443e-09 6.58568507436463e-10
0.33 3.0322138152080735e-09 6.591159447230241e-10
0.34 3.046782682152716e-09 6.583347103639425e-10
0.35 2.974146756059567e-09 6.506880514518964e-10
0.36 3.663707660379034e-09 6.827651381401664e-10
0.37 4.008458619216077e-09 6.999078975040746e-10
0.38 3.3255476598223285e-09 6.558443159540428e-10
0.39 2.9752644302922677e-09 6.372445229318945e-10
0.4 3.3152143034433055e-09 6.507166234016121e-10
0.41 2.7954215393202785e-09 6.204277620362788e-10
0.42 3.0649400016883476e-09 6.323186654125652e-10
0.43 3.1571645740230783e-09 6.348358140338472e-10
0.44 3.464469295317215e-09 6.471875383747943e-10
0.45 2.8508726960008515e-09 6.113280003812734e-10
0.46 3.1503495042920415e-09 6.236922831230544e-10
0.47 2.9058461684252007e-09 6.086133548765904e-10
0.48 3.4415236899308783e-09 6.364646834016496e-10
0.49 2.6783342328026958e-09 5.925865056826789e-10
0.5 3.13763975196295e-09 6.094551660822001e-10
0.51 2.6245413962140276e-09 5.810810746926974e-10
0.52 2.759634013642901e-09 5.880614280302062e-10
0.53 2.630795618930295e-09 5.777191172435593e-10
0.54 2.5886532417184083e-09 5.711164804880214e-10
0.55 3.046057599323799e-09 5.939514475825257e-10
0.56 2.6841355390625233e-09 5.692550781597068e-10
0.57 3.3730730322884434e-09 6.09025061422369e-10
0.58 2.578478507165509e-09 5.650391431954271e-10
0.59 2.604523476179572e-09 5.619292069648008e-10
