bdt ratio error
0.0 7.563142721638941e-08 7.802101391596586e-09
0.01 7.588451395277814e-08 7.828973552371288e-09
0.02 7.629054984682444e-08 7.872095986667245e-09
0.03 7.646429767400327e-08 7.890552561603837e-09
0.04 7.658606617962621e-08 7.903488979448817e-09
0.05 7.673389999485175e-08 7.919196079691627e-09
0.06 7.688879884076244e-08 7.9356556646641e-09
0.07 7.716828848272218e-08 7.965359049692178e-09
0.08 7.727925974699121e-08 7.977154465182293e-09
0.09 7.758280578089898e-08 8.009424065423517e-09
0.1 7.772070099035333e-08 8.024085916470235e-09
0.11 7.78584130034768e-08 8.038729774834304e-09
0.12 7.821199868652143e-08 8.076335753948816e-09
0.13 7.863736659072834e-08 8.121589174801929e-09
0.14 7.889843152561372e-08 8.149369982841342e-09
0.15 7.920288501470447e-08 8.181774650353287e-09
0.16 7.920288501470447e-08 8.181774650353287e-09
0.17 7.927119258073556e-08 8.189045998150364e-09
