probmu ratio error
-10.0 7.563142721638941e-08 7.802101391596586e-09
-9.0 7.563142721638941e-08 7.802101391596586e-09
-8.0 7.563140621107886e-08 7.802099161509962e-09
-7.0 7.563140621107886e-08 7.802099161509962e-09
-6.0 7.563140621107886e-08 7.802099161509962e-09
-5.0 7.563140621107886e-08 7.802099161509962e-09
-4.0 7.576105152103976e-08 7.815863971426664e-09
-3.0 7.582335995241006e-08 7.822479902897335e-09
-2.0 7.596157099592056e-08 7.837156286919458e-09
-1.0 7.674208737436611e-08 7.920066025365727e-09
0.0 7.878510095597529e-08 8.13730943623605e-09
1.0 8.343721089676514e-08 8.633208545973931e-09
2.0 9.478908615310435e-08 9.85036025019046e-09
3.0 1.210647605369422e-07 1.2705875985250493e-08
4.0 1.8399858587039172e-07 1.9758383675436285e-08
5.0 3.808895202968174e-07 4.367282592071598e-08
6.0 1.0049464990186647e-06 1.3582831130011638e-07
