probe ratio error
-10.0 1.561102200889724e-07 1.5727850949489985e-08
-9.0 1.5665859011432353e-07 1.5783450655773276e-08
-8.0 1.5727620766491138e-07 1.584607437184699e-08
-7.0 1.5799180219831725e-07 1.5918636425085187e-08
-6.0 1.5836056998932172e-07 1.595603150922883e-08
-5.0 1.5902815752734434e-07 1.6023731388807385e-08
-4.0 1.6026516145211105e-07 1.6149185266757993e-08
-3.0 1.6194300369160727e-07 1.6319367864628842e-08
-2.0 1.6440447757424628e-07 1.6570471463938077e-08
-1.0 1.6675043274497475e-07 1.6811910528665443e-08
0.0 1.71450727247124e-07 1.729650936348225e-08
1.0 1.7518503283350546e-07 1.7693021353065923e-08
2.0 1.6715738968406463e-07 1.6913552908778613e-08
3.0 1.3886954861783163e-07 1.4099228806620879e-08
4.0 8.529973544116503e-08 8.708551291922399e-09
5.0 6.850352455566633e-08 7.047342061708448e-09
