probe ratio error
-10.0 3.9462112830753195e-08 3.994060731532567e-09
-9.0 3.9633583626579407e-08 4.011605229423342e-09
-8.0 3.969608779037323e-08 4.0180009174292475e-09
-7.0 3.978058168130233e-08 4.026647030907109e-09
-6.0 3.9878353060905664e-08 4.036652300953552e-09
-5.0 4.01033876105014e-08 4.059682848174292e-09
-4.0 4.02590481688885e-08 4.075615146524859e-09
-3.0 4.0685676575967965e-08 4.1192886575527344e-09
-2.0 3.9555164008507525e-08 4.005799966442456e-09
-1.0 3.885462633153994e-08 3.936676379264668e-09
0.0 3.933030107228013e-08 3.9888591806506175e-09
1.0 4.467819777274836e-08 4.539160591188239e-09
2.0 4.4342277864104426e-08 4.51880586322068e-09
3.0 5.844901498072225e-08 5.989493051252286e-09
4.0 8.017116086689457e-08 8.284881798860026e-09
