probk ratio error
-10.0 1.7197928522894253e-07 1.7302913443679367e-08
-9.0 1.7207532172247983e-07 1.7312624061370942e-08
-8.0 1.7223197810780816e-07 1.732846430401465e-08
-7.0 1.7234061291120376e-07 1.7339448949268452e-08
-6.0 1.729072306031708e-07 1.7396743807185345e-08
-5.0 1.7342283524796258e-07 1.7448881991091276e-08
-4.0 1.7385713822550838e-07 1.7492800115963994e-08
-3.0 1.752149406498525e-07 1.7630112598244596e-08
-2.0 1.664822323623609e-07 1.6753652213347562e-08
-1.0 1.5742397659754692e-07 1.584817198624528e-08
0.0 1.561102200889724e-07 1.5727850949489985e-08
1.0 1.7562686693660904e-07 1.7726476661884428e-08
2.0 1.9269631518101785e-07 1.9490953474079722e-08
3.0 2.1315651479911742e-07 2.1618629983322558e-08
4.0 2.4051954198135984e-07 2.4512527173319002e-08
5.0 2.3245401327894443e-07 2.3854142732688322e-08
6.0 1.7250860511609605e-07 1.7937260902631472e-08
7.0 1.8399858587039172e-07 1.9758383675436285e-08
